"","max_fitness"
"1",7.06180741180911
"2",7.89153906691943
"3",3.85768133344504
"4",5.97910188047013
"5",7.7648028658996
"6",6.71649945726219
"7",3.23017368881528
"8",7.39407896353265
"9",5.73018655140349
"10",3.36816567614646
"11",3.302975210721
"12",5.86802732872575
"13",7.05109266256001
"14",5.20538999353445
"15",6.54478909274512
"16",7.25031929136805
"17",4.79054224649787
"18",6.52354132158639
"19",7.85871784872057
"20",4.74124856425923
"21",3.42148682451874
"22",5.27153185820896
"23",6.95863690746292
"24",5.28074753140246
"25",4.52319000925914
"26",5.89955702664884
"27",6.81743549819601
"28",6.00660990946522
"29",4.41608411754571
"30",6.77709283335233
"31",6.50702289886517
"32",4.64200860899825
"33",5.99865268449449
"34",3.42973787812933
"35",5.93855553592231
"36",3.59180036095333
"37",3.54808931738209
"38",6.86382739251712
"39",5.67139162643784
"40",4.96685767706812
"41",5.80429303311341
"42",5.12433959784404
"43",3.49087565777372
"44",6.27843153858639
"45",8.41030391067706
"46",8.02983720722453
"47",6.28911902573991
"48",7.0219546620908
"49",5.15083789030749
"50",5.81304423052584
"51",5.29928366800293
"52",3.54741809598554
"53",7.27937048903518
"54",7.7990825776733
"55",5.40407537887382
"56",3.53652503035181
"57",7.739920335169
"58",3.80555683587945
"59",4.61941852307267
"60",7.5036436589812
"61",3.2912305189175
"62",5.63569793854675
"63",4.78036443801208
"64",5.23584479047684
"65",3.10204294099887
"66",7.96040320550483
"67",7.76553306632822
"68",6.70269723609451
"69",3.67245125843071
"70",9.33923264612066
"71",3.41995625175737
"72",5.78145603802021
"73",3.39823963701278
"74",3.60170797705344
"75",4.65628740204322
"76",7.25376151153464
"77",3.9642998722045
"78",7.64401977260287
"79",6.01469421271661
"80",6.31025222317972
"81",5.57165890696582
"82",7.15287087320924
"83",3.44374592265736
"84",6.19617088623913
"85",6.65294046684862
"86",4.40197534434642
"87",4.70009656900866
"88",5.30191051326973
"89",7.26708545970729
"90",3.04823598398753
"91",4.60056270465121
"92",8.83829141812504
"93",8.84847565470142
"94",4.0147137016516
"95",3.38962509731662
"96",7.21097003036125
"97",5.78696763604501
"98",7.96223049211541
"99",4.95350947754611
"100",5.25120063513751
"101",7.33414105297413
"102",3.14182547345898
"103",4.68403945596912
"104",3.71407774309479
"105",8.99922367949972
"106",3.54273571883322
"107",8.20048724640391
"108",7.29563589597222
"109",6.78389243768735
"110",4.1731488546173
"111",6.79021999871582
"112",3.56933551691065
"113",4.89615578405165
"114",7.04460126038021
"115",3.72845501227232
"116",4.72729742844152
"117",3.92248792303106
"118",9.14994492184956
"119",3.54499374267042
"120",7.31065891883726
"121",5.77991930060864
"122",6.11569284702501
"123",7.13901219705343
"124",3.76846194076005
"125",4.8377615740713
"126",5.52988388661356
"127",3.43009984547405
"128",6.21327043999931
"129",3.62069099073103
"130",4.22118303989173
"131",7.28738182417938
"132",3.88142469043213
"133",6.98058231143157
"134",3.20283991054689
"135",7.51755976450877
"136",5.2814475499087
"137",3.79053932420659
"138",7.93676647455874
"139",5.89966952538502
"140",6.61278552090076
"141",8.5427739933063
"142",3.89437747141666
"143",6.76555824378386
"144",3.54727654764947
"145",5.73653416772247
"146",5.43165020846972
"147",7.91044311004374
"148",7.83166956930928
"149",5.44691887272238
"150",3.46505800095001
"151",4.84938783843189
"152",3.73091826559632
"153",5.54882849539917
"154",6.51154208854124
"155",6.4767795573151
"156",5.63899324901115
"157",3.35295786149089
"158",5.90296108761167
"159",3.44284653962985
"160",6.25341848138627
"161",5.66589391038982
"162",6.75735535679366
"163",1.46157433630124
"164",5.52482452617502
"165",5.61429357709629
"166",3.80517089637683
"167",6.54330825965771
"168",8.99644687980585
"169",6.5951445804029
"170",8.34230021883345
"171",4.47335426454339
"172",3.49623765807565
"173",3.47368165319052
"174",5.12741875264654
"175",3.63822305339069
"176",5.10382934114695
"177",8.43201801932775
"178",3.23979520709996
"179",6.5890292633225
"180",7.29594676737508
"181",7.26799991698762
"182",8.65441509922521
"183",5.67952562196722
"184",5.39108007232356
"185",3.31530235162908
"186",3.7458386020694
"187",4.93417658292488
"188",8.38127963900636
"189",3.43192816774186
"190",6.4357659946566
"191",3.14861385058817
"192",7.97147217871683
"193",3.36051855376151
"194",5.84055242850139
"195",5.45699876064869
"196",6.98146799004838
"197",8.79634168883111
"198",6.26919175209361
"199",3.22406237482415
"200",7.14555655486818
"201",3.33662970515291
"202",3.74200918601832
"203",5.44656358293461
"204",5.4224431656018
"205",4.26507943370943
"206",4.51478751077217
"207",4.95908963246223
"208",7.64796700192488
"209",8.52202293700634
"210",3.6108312808256
"211",4.57455691759704
"212",4.50244249570656
"213",8.54702811670298
"214",4.99361882360234
"215",4.52249065729117
"216",7.32525518671274
"217",5.72406447608504
"218",3.87031582187586
"219",8.99908237846015
"220",4.99017769493911
"221",3.28902679115247
"222",7.21701087768101
"223",6.08019768072837
"224",4.04696024328365
"225",3.25919063136429
"226",8.08117792281338
"227",3.13129769540825
"228",4.28999626133055
"229",6.45108460574417
"230",5.92486472035528
"231",3.36218719511594
"232",5.71670565098329
"233",7.08409645227891
"234",8.48646699825392
"235",9.14075784336677
"236",8.23710485511764
"237",3.75854424600404
"238",8.4191288934793
"239",4.07852876852371
"240",5.73590215814572
"241",7.37454933968429
"242",3.36830622272141
"243",6.84740289764807
"244",5.5868069215244
"245",5.71730918066198
"246",3.09801884724381
"247",8.42445339384659
"248",5.43060754554227
"249",6.20587361442042
"250",5.83498574804764
"251",3.11911221043435
"252",5.46394896093922
"253",6.0867650978906
