id,cue,cue_1,cue_2,log,var1,var2,var3,var4,label
I-i_none,I-i,I1,I2,none,1.958208,-69.747557,1519.003656,-253.527388,I
I-i_log,I-i,I1,I2,log,296.297,-407.8744,-253.256,-312.6993,I log
I1+I2_none,I1+I2,I1+I2,I1+I2,none,0.9999997,-9.1495804,-71.9937848,4998.243879,I1+I2
I1+I2_log,I1+I2,I1+I2,I1+I2,log,356.4903,-465.0749,-322.0964,-367.33,I1+I2 log
Ig-i_none,Ig-i,Ig1,Ig2,none,1.178482,-108.3889,2.022846,0.4681743,Ig
Ig-i_log,Ig-i,Ig1,Ig2,log,2.188023,-5.185792,3.701277,-8.106463,Ig log
Ig1+Ig2_none,Ig1+Ig2,Ig1+Ig2,Ig1+Ig2,none,1,-31.28019,341.47294,-4999.99774,Ig1+Ig2
sum_none,sum,sum,sum,none,1.832057,-16.921,61.96135,1.122217,sum
sum_log,sum,sum,sum,log,366.9224,-475.8806,-333.6755,-376.6502,sum log
G-i_none,G-i,G1,G2,none,1.353023,-165.8444,60.96032,-7.602019,G
G-i_log,G-i,G1,G2,log,1.76218,-4.329083,2.546559,-6.721427,G log
G1+G2_none,G1+G2,G1+G2,G1+G2,none,1,-20.67279,324.78499,-4999.96816,G1+G2
R_none,R,R,R,none,-85.83515,132.203,63.44411,95.46252,R
R_log,R,R,R,log,-1708.033,2029.536,1652.683,1716.579,R log
I-i+Ig-i_none,I-i+Ig-i,I1+Ig1,I2+Ig2,none,1.738925,-32.23447,294.1821,16.1966,I+Ig
I-i+Ig-i_log,I-i+Ig-i,I1+Ig1,I2+Ig2,log,303.4573,-419.5405,-257.9821,-320.6268,I+Ig log
