"","id","id_b","label","label_b","fitness_init","par1_init","par2_init","par3_init","par4_init","par5_init","par6_init","par7_init","par8_init","par9_init","fitness_glb","par1_glb","par2_glb","par3_glb","par4_glb","par5_glb","par6_glb","par7_glb","par8_glb","par9_glb","fitness_lc","par1_lc","par2_lc","par3_lc","par4_lc","par5_lc","par6_lc","par7_lc","par8_lc","par9_lc","fitness","algo","par1","par2","par3","par4","par5","par6","par7","par8","par9","fitness_0.001"
"1","G_log","I_log","G log","I log",9.622092627,-1.985503343,2.246844631,-5.315224147,-4.794467092,-3.055816817,10.05317122,0.842792278,2.673912145,-7.369426932,6.0506243419833,-5.10415346674956,114.146010305882,-668.526028680439,415.65853258153,151.442599180718,458.961675393515,945.771421029059,75.9031493274323,176.629215553985,9.66651804443257,-2.80545457883157,3.6676691281147,-8.82052315835365,-4.76862330124401,-1.42375431125805,12.891471921864,-1.24756871787489,4.17231341796399,-9.45810011851136,9.66651804443257,"lc",-2.80545457883157,3.6676691281147,-8.82052315835365,-4.76862330124401,-1.42375431125805,12.891471921864,-1.24756871787489,4.17231341796399,-9.45810011851136,9.66396495874649
"2","G_log","I+Ig_log","G log","I+Ig log",9.630225224,5.079803163,-6.37587962,-0.389694196,14.81133729,-15.8766897,-4.477523761,17.14262134,-5.806349719,-5.928236941,5.3345427005066,0.869998881891488,125.887826170828,-550.445140350531,481.049826945459,121.633618368112,419.704964410512,126.603649825148,-93.8926463964838,193.083996233811,9.61877321276131,-1.23318531687197,2.42727807611924,-1.70994721783453,0.00935595483495777,-2.04797799206393,4.51258896047873,0.356617509554736,2.0032813080269,-1.53074439614116,9.630225224,"init",5.079803163,-6.37587962,-0.389694196,14.81133729,-15.8766897,-4.477523761,17.14262134,-5.806349719,-5.928236941,9.62804156212894
"3","G_log","Ig_log","G log","Ig log",9.645545332,0.096550527,-0.828868399,2.809072394,2.069827651,-2.711947717,2.866095713,2.120804485,-2.043434134,2.623559669,5.94334996228492,9.9158190991529,47.3808059771741,260.192491944557,167.857006593501,-11.3413101255486,90.547222479166,108.780520198427,-0.691261146203944,-1.98933425704868,9.6573216954234,-1.31229469695705,2.09429976550648,-1.68986419231464,-4.91911711251949,-3.48457117769937,5.1586155384373,1.52710613175228,0.558741866934804,0.344393572278748,9.6573216954234,"lc",-1.31229469695705,2.09429976550648,-1.68986419231464,-4.91911711251949,-3.48457117769937,5.1586155384373,1.52710613175228,0.558741866934804,0.344393572278748,9.65491650141104
"4","G_log","R_log","G log","R log",9.637573424,4.996152915,-16.58351216,-1.566557314,-19.80497877,12.82807037,-9.910351035,12.95135774,-21.75300206,0.192967984,4.00872175539873,-2.0327959656662,-3.065744865145,-13.2157656736617,215.077605512194,139.315973565785,290.538017281564,-554.342129076233,354.059029702966,227.907774854854,9.51691647110328,-0.210969893560822,0.758594118302449,1.23403482698716,0.599441106855288,0.417496433602445,-0.735099154305318,0.545184798137887,0.122645563031628,1.04055917323314,9.637573424,"init",4.996152915,-16.58351216,-1.566557314,-19.80497877,12.82807037,-9.910351035,12.95135774,-21.75300206,0.192967984,9.6352064030693
"5","I+Ig_log","I_log","I+Ig log","I log",9.636695093,4.524389124,14.75055846,16.10624429,-5.095638363,-15.10107988,-7.375652163,-1.304630203,-1.5029925,-6.21641711,5.4103089562598,-3.18232964417096,357.443853679337,962.01224749247,-322.452901154605,174.554998240604,44.8943790961291,-938.71437745146,-133.110649635622,160.789423011226,9.62904505915096,2.4305040011909,6.71166907701056,0.187771304280271,7.64778898744809,-2.66194354978664,-5.73299040966418,-0.423993744722053,0.558251231732168,0.528269824253498,9.636695093,"init",4.524389124,14.75055846,16.10624429,-5.095638363,-15.10107988,-7.375652163,-1.304630203,-1.5029925,-6.21641711,9.63451763368569
"6","I+Ig_log","Ig_log","I+Ig log","Ig log",9.642838805,0.58949693,-1.588573166,2.03205501,0.279388883,-4.547874625,-0.959880268,2.104784186,-1.506025149,1.136733882,5.92750392593682,-6.17414426792298,-213.587098041314,-296.191040901256,59.6123907535829,224.871082921038,-97.8621358169405,-592.216853748387,-169.246969038157,179.525890730739,9.62370522064796,0.0499324494666671,1.02993789467057,0.471074531531485,1.92012518304752,-1.25606932809605,0.524961198823569,0.210192206510639,0.00848134075384276,0.82295131455474,9.642838805,"init",0.58949693,-1.588573166,2.03205501,0.279388883,-4.547874625,-0.959880268,2.104784186,-1.506025149,1.136733882,9.64062138688247
"7","Ig_log","I_log","Ig log","I log",9.643250338,0.347887152,0.66947903,1.676833635,-1.902545261,-4.039513466,-0.797128685,1.759538911,-0.096959076,0.555641807,6.21368763572262,-9.45561923519018,64.6802612810399,-575.554420189291,-333.46586627357,243.094269501014,-246.0142119336,-319.512592926279,-122.2536847241,5.95201724496852,9.62549432946674,0.072480483153692,1.91918084375877,0.246183468344588,0.953653276628249,-1.23785913976728,-0.0122205864074463,0.35414165305954,0.965876557988584,0.71688568371659,9.643250338,"init",0.347887152,0.66947903,1.676833635,-1.902545261,-4.039513466,-0.797128685,1.759538911,-0.096959076,0.555641807,9.64102244961784
"8","R_log","I_log","R log","I log",9.880781047,6.875066649,1.746121145,0.678992033,25.27235333,-29.39793239,-15.10449299,43.5303092,-7.664658261,11.64534955,3.53088588457098,2.03764731427999,362.588924067982,245.5862278967,855.758263141523,-248.014503303613,468.658128000141,-221.458206711036,73.532820269672,-128.492078740457,9.85417375742354,4.44619203259215,10.9751827505082,1.38762816973326,23.3059253975402,-3.45205237143071,-18.00706920308,39.6661422617907,-3.54519314123176,18.7835079899362,9.880781047,"init",6.875066649,1.746121145,0.678992033,25.27235333,-29.39793239,-15.10449299,43.5303092,-7.664658261,11.64534955,9.8782047251665
"9","R_log","I+Ig_log","R log","I+Ig log",9.760316973,4.989028642,-2.595164917,-1.947046705,22.95579382,-22.22700485,-8.262189885,35.45725508,-5.473194991,1.314611866,9.77347703106196,-7.6873117022231,-497.712666727175,-1003.52690579799,47.7856365855313,-248.736011208557,-181.975534126152,27.7138840936154,-22.552719476167,-52.131985634923,9.73612558958711,5.1956035781851,5.99822148880104,1.18085658446685,12.8608728924589,-1.5747945929083,-13.35679325975,35.2857302694346,-4.93097042087385,5.16653516723564,9.77347703106196,"glb",-7.6873117022231,-497.712666727175,-1003.52690579799,47.7856365855313,-248.736011208557,-181.975534126152,27.7138840936154,-22.552719476167,-52.131985634923,9.77131968859727
"10","R_log","Ig_log","R log","Ig log",9.655237,-6.889859,-10.052097,-6.6479,6.032022,-9.350612,20.779112,9.113192,7.429304,5.322353,4.78786507460712,-6.73616590651336,123.284430745436,-146.138332854384,-800.046844249737,-223.489643882381,-118.31002554758,163.419218758289,-5.92523199937656,-127.555668026572,9.60656468549657,-0.00491698103621923,0.825496200321378,0.509378291373975,1.13626406804009,-0.309776990626265,0.331662929296179,1.91914869558215,-1.00418454227486,2.11725221957314,9.655237,"init",-6.889859,-10.052097,-6.6479,6.032022,-9.350612,20.779112,9.113192,7.429304,5.322353,9.65309669835439
