"","id","id_b","cue1","cue2","temp","cue","log","low","high","by","label","cue_b","log_b","low_b","high_b","by_b","label_b","low_si","high_si","fitness_si","var1","var2","var3","var4","low_si_b","high_si_b","fitness_si_b","var1_b","var2_b","var3_b","var4_b","par1_init","par2_init","par3_init","par4_init","par5_init","par6_init","par7_init","par8_init","par9_init"
"1","Ig_log","I_log","Ig","I","I_log Ig_log","Ig","log",0,6.77815125,0.013556303,"Ig log","I","log",0,6.77815125,0.013556303,"I log",0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,0.287409196571112,1.95314211788678,2.25011125117865,-1.34866159762506,-2.66133455329596,-1.34867559562133,1.64696438236675,1.35002602581881,1.11804467943621
"2","I+Ig_log","I_log","I+Ig","I","I_log I+Ig_log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log","I","log",0,6.77815125,0.013556303,"I log",0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,4.72566974555788,14.0258379870117,16.1565878884872,-5.78881821771716,-15.2167288156641,-5.7888739446155,-1.08904395844377,-3.22026945657001,-4.88888362026157
"3","R_log","I_log","R","I","I_log R_log","R","log",6,7,0.002,"R log","I","log",0,6.77815125,0.013556303,"I log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,5.42711537036164,-6.84406360078747,0.592727189873955,13.9815075384209,-17.7160815179355,-2.25769280247469,18.0605409580752,-6.85630979960153,-3.8656192314214
"4","G_log","I_log","G","I","G_log I_log","G","log",0,4.77815125,0.009556303,"G log","I","log",0,6.77815125,0.013556303,"I log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,-0.430328543474065,0.819993952775813,0.944588521716482,-0.588206144653991,-1.13926888608273,-0.588219824064144,0.764487322049247,0.63990450214135,0.542451843672015
"5","I+Ig_log","Ig_log","I+Ig","Ig","I+Ig_log Ig_log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log","Ig","log",0,6.77815125,0.013556303,"Ig log",0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,0.287314819152919,-1.34858941615257,1.64673680501572,1.95323326101131,-2.66123400579577,1.34989835825574,2.25019454906916,-1.34865881648773,1.11788181990842
"6","R_log","Ig_log","R","Ig","Ig_log R_log","R","log",6,7,0.002,"R log","Ig","log",0,6.77815125,0.013556303,"Ig log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,0.287430236699032,-1.34867078991162,1.64699978161278,1.95313693901697,-2.66134452261078,1.35005348568246,2.25009141568299,-1.34867763234041,1.11805589390986
"7","G_log","Ig_log","G","Ig","G_log Ig_log","G","log",0,4.77815125,0.009556303,"G log","Ig","log",0,6.77815125,0.013556303,"Ig log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,0.287425097799401,-1.34866706901391,1.64698395352554,1.95314277507879,-2.66133592954751,1.35004776529574,2.25010441136695,-1.34867829167739,1.11806086426474
"8","R_log","I+Ig_log","R","I+Ig","I+Ig_log R_log","R","log",6,7,0.002,"R log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,4.74814110280747,-5.80853566969499,-1.14822797998097,14.1116935354037,-15.2929587835368,-3.29201170145284,16.2664383018962,-5.80820898379124,-4.96858706103522
"9","G_log","I+Ig_log","G","I+Ig","G_log I+Ig_log","G","log",0,4.77815125,0.009556303,"G log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,5.07827371876434,-6.17197122428911,-1.27423221058232,14.9557909681022,-16.3107631557716,-3.57576559227007,17.2381743348211,-6.17954686055996,-5.36993477364505
"10","G_log","R_log","G","R","G_log R_log","G","log",0,4.77815125,0.009556303,"G log","R","log",6,7,0.002,"R log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,-0.430287949362332,0.81998276930075,0.944567038245698,-0.588221405879994,-1.13927150202235,-0.58822685900319,0.764570560006976,0.639997362494598,0.542532982331046
