"","id","id_b","cue1","cue2","temp","cue","log","low","high","by","label","cue_b","log_b","low_b","high_b","by_b","label_b","low_si","high_si","fitness_si","var1","var2","var3","var4","low_si_b","high_si_b","fitness_si_b","var1_b","var2_b","var3_b","var4_b","value","par1_init","par2_init","par3_init","par4_init","par5_init","par6_init","par7_init","par8_init","par9_init"
"1","Ig_log","I_log","Ig","I","I_log Ig_log","Ig","log",0,6.77815125,0.013556303,"Ig log","I","log",0,6.77815125,0.013556303,"I log",0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,64.0378561457642,11.1115434244234,361.987396282017,134.74925599446,-40.6979369027851,-163.575727329764,-57.9801110503192,47.3188915837014,242.084549767156,73.6227886626561
"2","I+Ig_log","I_log","I+Ig","I","I_log I+Ig_log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log","I","log",0,6.77815125,0.013556303,"I log",0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,41.8909360293002,7.79782497967278,136.643007536578,851.850405507691,147.116197006327,-0.734143638699582,121.296073793545,808.688188272031,161.900791697274,14.4973300379965
"3","R_log","I_log","R","I","I_log R_log","R","log",6,7,0.002,"R log","I","log",0,6.77815125,0.013556303,"I log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,34.232232169097,9.88191438282854,114.427601941951,829.686084156168,192.300527363368,-5.39321546659427,194.201151607558,868.773571587828,131.289614743738,-3.49061198410661
"4","G_log","I_log","G","I","G_log I_log","G","log",0,4.77815125,0.009556303,"G log","I","log",0,6.77815125,0.013556303,"I log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.494991,5.463558,2.383948,-17.757281,4.571835,91.6795553627072,4.66380431100674,65.9633188432837,256.036659934322,-221.320204608125,-239.011954006574,-248.836644672819,246.023775793944,74.9370019397985,227.4144295901
"5","I+Ig_log","Ig_log","I+Ig","Ig","I+Ig_log Ig_log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log","Ig","log",0,6.77815125,0.013556303,"Ig log",0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,64.6583208329918,11.0856945897171,-43.7815388405829,42.5261803712073,472.137820221884,-194.166830283297,256.402590491568,192.29807356978,-70.5955642823,81.9044262781719
"6","R_log","Ig_log","R","Ig","Ig_log R_log","R","log",6,7,0.002,"R log","Ig","log",0,6.77815125,0.013556303,"Ig log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,63.7077057169302,9.93497688350879,-36.0830528109578,46.5746649527266,506.649181232649,-193.934556684849,371.440396656189,90.5560537334354,-42.6338163602528,49.30501062194
"7","G_log","Ig_log","G","Ig","G_log Ig_log","G","log",0,4.77815125,0.009556303,"G log","Ig","log",0,6.77815125,0.013556303,"Ig log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.618812,1.746334,-1.785818,-5.528335,1.573436,64.5856499714134,2.58813002006878,-27.2869626401151,44.5447348589209,605.832104771966,-223.56315690659,446.686064033464,137.512598690592,-49.0601038700003,83.5472394861495
"8","R_log","I+Ig_log","R","I+Ig","I+Ig_log R_log","R","log",6,7,0.002,"R log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log",6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,41.8909360293002,9.96289945110865,83.0246249184845,532.321952764612,153.607203816153,-11.3402220181945,80.3394431005054,896.600296295538,147.091042002127,2.56130662563803
"9","G_log","I+Ig_log","G","I+Ig","G_log I+Ig_log","G","log",0,4.77815125,0.009556303,"G log","I+Ig","log",0,6.77815125,0.013556303,"I+Ig log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,0,6.77815125,9.573291,3.594042,4.157744,-13.530672,2.599905,41.8909360293002,9.9920909276949,180.914349268668,850.641970487632,157.258228490137,-0.960375249206731,210.095323156565,967.734404494766,135.070980246802,5.66473687971465
"10","G_log","R_log","G","R","G_log R_log","G","log",0,4.77815125,0.009556303,"G log","R","log",6,7,0.002,"R log",0,4.77815125,9.561373,1.211521,-3.936778,-1.312944,-1.285713,6,7,8.190144,3.460017,203.970669,-45.649759,1.691582,92.1260780442944,6.12818717181751,54.6994976428236,181.054824519248,-235.668782637922,-231.772169704474,-202.675420432942,313.57703778854,93.0059991021297,224.576029744124
