"","id","id_b","label","label_b","fitness_dual","fitness_si","fitness_si_b","fitness_si_final","label_comb","fitness_dual_norm"
"1","G_log","I_log","G log","I log",9.66396495874649,9.561373,9.494991,0.96739761475624,"G log & I log",0.97777763195508
"2","G_log","I+Ig_log","G log","I+Ig log",9.62804145522099,9.561373,9.573291,0.96860345044246,"G log & Total I log",0.974142974921591
"3","G_log","Ig_log","G log","Ig log",9.65491650141104,9.561373,9.618812,0.973209159980339,"G log & Ig log",0.976862129961429
"4","G_log","R_log","G log","R log",9.63520642779977,9.561373,8.190144,0.96739761475624,"G log & R log",0.974867910282078
"5","I+Ig_log","I_log","I+Ig log","I log",9.63451764144117,9.573291,9.494991,0.96860345044246,"Total I log & I log",0.974798220470752
"6","I+Ig_log","Ig_log","I+Ig log","Ig log",9.64062138557252,9.573291,9.618812,0.973209159980339,"Total I log & Ig log",0.975415783190432
"7","Ig_log","I_log","Ig log","I log",9.64102234538328,9.618812,9.494991,0.973209159980339,"Ig log & I log",0.975456351377087
"8","R_log","I_log","R log","I log",9.87820513616322,8.190144,9.494991,0.960681237467879,"R log & I log",0.999453957794256
"9","R_log","I+Ig_log","R log","I+Ig log",9.77131968859727,8.190144,9.573291,0.96860345044246,"R log & Total I log",0.988639535322979
"10","R_log","Ig_log","R log","Ig log",9.60713007261007,8.190144,9.618812,0.973209159980339,"R log & Ig log",0.972027209575018
