"","day","mouse","RBC","asex","gam","dose","strain","study","study_strain","id"
"1",3,1,9734000,12353.90693675,12.51290989,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"2",4,1,9034000,91041.5342433,22.5064642,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"3",5,1,8945000,317875.0415734,32.9437373,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"4",6,1,8655000,704275.7083651,813.675458,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"5",7,1,4739000,1016266.455001,947.811401,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"6",8,1,3190400,356793.7129295,2011.96055,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"7",9,1,4127000,42433.376151,573.144749,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"8",10,1,5027000,2168.711427,181.650193,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"9",11,1,5496000,1375.207913,322.215207,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"10",12,1,5880000,58.245882,500.56441,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"11",13,1,5870000,82.2832975,109.2849185,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"12",14,1,6863000,159.07027606,13.28949994,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"13",15,1,7633000,136.12020219,4.69410781,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"14",16,1,7422000,88.42585642,3.29387358,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"15",17,1,8139000,316.41075051,2.20896249,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"16",18,1,8260000,324.667174,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"17",19,1,8038000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"18",20,1,7669000,184.676246,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"19",21,1,8578000,48.6415486,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"20",3,2,9241000,8404.3344581,17.0155317,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"21",4,2,9418000,55478.90670267,48.8336457,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"22",5,2,7992000,225937.4858797,279.268041,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"23",6,2,8024000,358511.9427444,984.045125,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"24",7,2,6063000,671959.9015641,531.752335,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"25",8,2,4338000,192241.424889,1297.480556,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"26",9,2,3901000,17590.281305,498.085095,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"27",10,2,4663000,9994.608835,79.83823,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"28",11,2,5401000,1763.38147,297.14626,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"29",12,2,6108000,104.044956,924.571574,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"30",13,2,5838000,828.851196,351.799794,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"31",14,2,6839000,219.6565662,88.6640198,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"32",15,2,6302000,59.7389594,18.4160946,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"33",16,2,7382000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"34",17,2,7264000,15.4281916,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"35",18,2,7068000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"36",19,2,7927000,363.159997,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"37",20,2,6621000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
