"","beta_simulated","fitness","id","cue","log","beta_optimized","long_label","short_label"
"1",3.98,6.87535941675596,"G_log","G","log10",3.98,"Gametocyte log","G log"
"2",4.7,7.25812055007642,"G_log","G","log10",3.98,"Gametocyte log","G log"
"3",5.53,6.4975446197263,"G_log","G","log10",3.98,"Gametocyte log","G log"
"4",5.721,6.31976977572011,"G_log","G","log10",3.98,"Gametocyte log","G log"
"5",6.08,6.02658946496799,"G_log","G","log10",3.98,"Gametocyte log","G log"
"6",3.98,5.55922741494913,"G_log","G","log10",4.7,"Gametocyte log","G log"
"7",4.7,8.3149116668688,"G_log","G","log10",4.7,"Gametocyte log","G log"
"8",5.53,8.58327386227911,"G_log","G","log10",4.7,"Gametocyte log","G log"
"9",5.721,8.46879468463236,"G_log","G","log10",4.7,"Gametocyte log","G log"
"10",6.08,8.17068541752161,"G_log","G","log10",4.7,"Gametocyte log","G log"
"11",3.98,1.54637832052908,"G_log","G","log10",5.53,"Gametocyte log","G log"
"12",4.7,6.65849066477385,"G_log","G","log10",5.53,"Gametocyte log","G log"
"13",5.53,9.37501286982203,"G_log","G","log10",5.53,"Gametocyte log","G log"
"14",5.721,9.5083397645897,"G_log","G","log10",5.53,"Gametocyte log","G log"
"15",6.08,9.50640414028667,"G_log","G","log10",5.53,"Gametocyte log","G log"
"16",3.98,0.462479560545412,"G_log","G","log10",6.08,"Gametocyte log","G log"
"17",4.7,2.82604456340964,"G_log","G","log10",6.08,"Gametocyte log","G log"
"18",5.53,8.6598933947504,"G_log","G","log10",6.08,"Gametocyte log","G log"
"19",5.721,9.28693243912114,"G_log","G","log10",6.08,"Gametocyte log","G log"
"20",6.08,9.88780352861158,"G_log","G","log10",6.08,"Gametocyte log","G log"
"21",3.98,5.94315010005586,"G_none","G","none",3.98,"Gametocyte","G"
"22",4.7,6.02860113541108,"G_none","G","none",3.98,"Gametocyte","G"
"23",5.53,5.6956586315435,"G_none","G","none",3.98,"Gametocyte","G"
"24",5.721,5.64467794050684,"G_none","G","none",3.98,"Gametocyte","G"
"25",6.08,5.51039875942238,"G_none","G","none",3.98,"Gametocyte","G"
"26",3.98,5.12813657225632,"G_none","G","none",4.7,"Gametocyte","G"
"27",4.7,7.23355917435252,"G_none","G","none",4.7,"Gametocyte","G"
"28",5.53,6.79831429669336,"G_none","G","none",4.7,"Gametocyte","G"
"29",5.721,6.47299969960247,"G_none","G","none",4.7,"Gametocyte","G"
"30",6.08,6.35604076705551,"G_none","G","none",4.7,"Gametocyte","G"
"31",3.98,3.02272250196175,"G_none","G","none",5.53,"Gametocyte","G"
"32",4.7,6.17578752980815,"G_none","G","none",5.53,"Gametocyte","G"
"33",5.53,8.39849570414757,"G_none","G","none",5.53,"Gametocyte","G"
"34",5.721,8.46868834730452,"G_none","G","none",5.53,"Gametocyte","G"
"35",6.08,7.96111468883376,"G_none","G","none",5.53,"Gametocyte","G"
"36",3.98,1.42831408847716,"G_none","G","none",6.08,"Gametocyte","G"
"37",4.7,4.72999707619037,"G_none","G","none",6.08,"Gametocyte","G"
"38",5.53,7.94280657401722,"G_none","G","none",6.08,"Gametocyte","G"
"39",5.721,8.39870575334174,"G_none","G","none",6.08,"Gametocyte","G"
"40",6.08,8.89882724798105,"G_none","G","none",6.08,"Gametocyte","G"
"41",3.98,6.80018726427703,"I_log","I","log10",3.98,"Asexual iRBC log","I log"
"42",4.7,6.35949201404386,"I_log","I","log10",3.98,"Asexual iRBC log","I log"
"43",5.53,4.26478936338097,"I_log","I","log10",3.98,"Asexual iRBC log","I log"
"44",5.721,4.05602651073043,"I_log","I","log10",3.98,"Asexual iRBC log","I log"
"45",6.08,3.73917585490711,"I_log","I","log10",3.98,"Asexual iRBC log","I log"
"46",3.98,5.9953375320812,"I_log","I","log10",4.7,"Asexual iRBC log","I log"
"47",4.7,8.23571529649638,"I_log","I","log10",4.7,"Asexual iRBC log","I log"
"48",5.53,5.98118731006758,"I_log","I","log10",4.7,"Asexual iRBC log","I log"
"49",5.721,5.52191281376467,"I_log","I","log10",4.7,"Asexual iRBC log","I log"
"50",6.08,4.93854557945158,"I_log","I","log10",4.7,"Asexual iRBC log","I log"
"51",3.98,4.16222650868434,"I_log","I","log10",5.53,"Asexual iRBC log","I log"
"52",4.7,7.04291441233354,"I_log","I","log10",5.53,"Asexual iRBC log","I log"
"53",5.53,9.30596196264625,"I_log","I","log10",5.53,"Asexual iRBC log","I log"
"54",5.721,9.19387878863864,"I_log","I","log10",5.53,"Asexual iRBC log","I log"
"55",6.08,7.25614331140212,"I_log","I","log10",5.53,"Asexual iRBC log","I log"
"56",3.98,3.06335625232354,"I_log","I","log10",6.08,"Asexual iRBC log","I log"
"57",4.7,5.80179919541681,"I_log","I","log10",6.08,"Asexual iRBC log","I log"
"58",5.53,8.57508385937361,"I_log","I","log10",6.08,"Asexual iRBC log","I log"
"59",5.721,9.09749763591743,"I_log","I","log10",6.08,"Asexual iRBC log","I log"
"60",6.08,9.81952712090217,"I_log","I","log10",6.08,"Asexual iRBC log","I log"
"61",3.98,6.28421712767503,"I_none","I","none",3.98,"Asexual iRBC","I"
"62",4.7,3.39193319180281,"I_none","I","none",3.98,"Asexual iRBC","I"
"63",5.53,2.68678794860898,"I_none","I","none",3.98,"Asexual iRBC","I"
"64",5.721,2.59343392731281,"I_none","I","none",3.98,"Asexual iRBC","I"
"65",6.08,2.44387185661978,"I_none","I","none",3.98,"Asexual iRBC","I"
"66",3.98,5.80479347433969,"I_none","I","none",4.7,"Asexual iRBC","I"
"67",4.7,7.47405227899965,"I_none","I","none",4.7,"Asexual iRBC","I"
"68",5.53,3.95838218787083,"I_none","I","none",4.7,"Asexual iRBC","I"
"69",5.721,3.72518916754168,"I_none","I","none",4.7,"Asexual iRBC","I"
"70",6.08,3.42761524371017,"I_none","I","none",4.7,"Asexual iRBC","I"
"71",3.98,3.99209958983657,"I_none","I","none",5.53,"Asexual iRBC","I"
"72",4.7,6.8974569018418,"I_none","I","none",5.53,"Asexual iRBC","I"
"73",5.53,8.34371044655195,"I_none","I","none",5.53,"Asexual iRBC","I"
"74",5.721,6.49012160160114,"I_none","I","none",5.53,"Asexual iRBC","I"
"75",6.08,5.17989482888601,"I_none","I","none",5.53,"Asexual iRBC","I"
"76",3.98,2.79316572556784,"I_none","I","none",6.08,"Asexual iRBC","I"
"77",4.7,6.32771199311348,"I_none","I","none",6.08,"Asexual iRBC","I"
"78",5.53,8.08813688507775,"I_none","I","none",6.08,"Asexual iRBC","I"
"79",5.721,8.31167273815406,"I_none","I","none",6.08,"Asexual iRBC","I"
"80",6.08,8.75056186206818,"I_none","I","none",6.08,"Asexual iRBC","I"
"81",3.98,6.78639943470831,"I+Ig_log","I+Ig","log10",3.98,"Total iRBC log","I+Ig log"
"82",4.7,7.23580003852223,"I+Ig_log","I+Ig","log10",3.98,"Total iRBC log","I+Ig log"
"83",5.53,5.73922002918354,"I+Ig_log","I+Ig","log10",3.98,"Total iRBC log","I+Ig log"
"84",5.721,5.38021987459461,"I+Ig_log","I+Ig","log10",3.98,"Total iRBC log","I+Ig log"
"85",6.08,4.79060912597018,"I+Ig_log","I+Ig","log10",3.98,"Total iRBC log","I+Ig log"
"86",3.98,5.64479199720644,"I+Ig_log","I+Ig","log10",4.7,"Total iRBC log","I+Ig log"
"87",4.7,8.2636771038404,"I+Ig_log","I+Ig","log10",4.7,"Total iRBC log","I+Ig log"
"88",5.53,7.50643048384902,"I+Ig_log","I+Ig","log10",4.7,"Total iRBC log","I+Ig log"
"89",5.721,7.00791617375669,"I+Ig_log","I+Ig","log10",4.7,"Total iRBC log","I+Ig log"
"90",6.08,6.12200614265358,"I+Ig_log","I+Ig","log10",4.7,"Total iRBC log","I+Ig log"
"91",3.98,3.00437074671305,"I+Ig_log","I+Ig","log10",5.53,"Total iRBC log","I+Ig log"
"92",4.7,6.30203746427,"I+Ig_log","I+Ig","log10",5.53,"Total iRBC log","I+Ig log"
"93",5.53,9.37642658452189,"I+Ig_log","I+Ig","log10",5.53,"Total iRBC log","I+Ig log"
"94",5.721,9.42681689443451,"I+Ig_log","I+Ig","log10",5.53,"Total iRBC log","I+Ig log"
"95",6.08,8.75651365270454,"I+Ig_log","I+Ig","log10",5.53,"Total iRBC log","I+Ig log"
"96",3.98,1.91492830454072,"I+Ig_log","I+Ig","log10",6.08,"Total iRBC log","I+Ig log"
"97",4.7,4.22650221162872,"I+Ig_log","I+Ig","log10",6.08,"Total iRBC log","I+Ig log"
"98",5.53,8.25042577631434,"I+Ig_log","I+Ig","log10",6.08,"Total iRBC log","I+Ig log"
"99",5.721,9.05990118819255,"I+Ig_log","I+Ig","log10",6.08,"Total iRBC log","I+Ig log"
"100",6.08,9.91018515139186,"I+Ig_log","I+Ig","log10",6.08,"Total iRBC log","I+Ig log"
"101",3.98,6.368115419464,"I+Ig_none","I+Ig","none",3.98,"Total iRBC","I+Ig"
"102",4.7,2.78348027276763,"I+Ig_none","I+Ig","none",3.98,"Total iRBC","I+Ig"
"103",5.53,2.55641354353507,"I+Ig_none","I+Ig","none",3.98,"Total iRBC","I+Ig"
"104",5.721,2.49856844212812,"I+Ig_none","I+Ig","none",3.98,"Total iRBC","I+Ig"
"105",6.08,2.4359056758437,"I+Ig_none","I+Ig","none",3.98,"Total iRBC","I+Ig"
"106",3.98,5.33934437074878,"I+Ig_none","I+Ig","none",4.7,"Total iRBC","I+Ig"
"107",4.7,7.66851386566665,"I+Ig_none","I+Ig","none",4.7,"Total iRBC","I+Ig"
"108",5.53,3.18034604207157,"I+Ig_none","I+Ig","none",4.7,"Total iRBC","I+Ig"
"109",5.721,3.13798389271032,"I+Ig_none","I+Ig","none",4.7,"Total iRBC","I+Ig"
"110",6.08,3.01396321792764,"I+Ig_none","I+Ig","none",4.7,"Total iRBC","I+Ig"
"111",3.98,4.37569734037136,"I+Ig_none","I+Ig","none",5.53,"Total iRBC","I+Ig"
"112",4.7,5.9423219670985,"I+Ig_none","I+Ig","none",5.53,"Total iRBC","I+Ig"
"113",5.53,8.67693234764204,"I+Ig_none","I+Ig","none",5.53,"Total iRBC","I+Ig"
"114",5.721,5.74173244854522,"I+Ig_none","I+Ig","none",5.53,"Total iRBC","I+Ig"
"115",6.08,3.98413746758239,"I+Ig_none","I+Ig","none",5.53,"Total iRBC","I+Ig"
"116",3.98,3.61532751571517,"I+Ig_none","I+Ig","none",6.08,"Total iRBC","I+Ig"
"117",4.7,5.35366631399085,"I+Ig_none","I+Ig","none",6.08,"Total iRBC","I+Ig"
"118",5.53,6.92437512434835,"I+Ig_none","I+Ig","none",6.08,"Total iRBC","I+Ig"
"119",5.721,7.40718792226038,"I+Ig_none","I+Ig","none",6.08,"Total iRBC","I+Ig"
"120",6.08,9.15963414703286,"I+Ig_none","I+Ig","none",6.08,"Total iRBC","I+Ig"
"121",3.98,6.89236194110389,"Ig_log","Ig","log10",3.98,"Sexual iRBC log","Ig log"
"122",4.7,7.50215463342013,"Ig_log","Ig","log10",3.98,"Sexual iRBC log","Ig log"
"123",5.53,6.93694977364074,"Ig_log","Ig","log10",3.98,"Sexual iRBC log","Ig log"
"124",5.721,6.78258861403769,"Ig_log","Ig","log10",3.98,"Sexual iRBC log","Ig log"
"125",6.08,6.51338912093892,"Ig_log","Ig","log10",3.98,"Sexual iRBC log","Ig log"
"126",3.98,5.46318867281975,"Ig_log","Ig","log10",4.7,"Sexual iRBC log","Ig log"
"127",4.7,8.34853723059609,"Ig_log","Ig","log10",4.7,"Sexual iRBC log","Ig log"
"128",5.53,8.36110262608787,"Ig_log","Ig","log10",4.7,"Sexual iRBC log","Ig log"
"129",5.721,8.19413492174396,"Ig_log","Ig","log10",4.7,"Sexual iRBC log","Ig log"
"130",6.08,7.82547034637148,"Ig_log","Ig","log10",4.7,"Sexual iRBC log","Ig log"
"131",3.98,1.54446589318622,"Ig_log","Ig","log10",5.53,"Sexual iRBC log","Ig log"
"132",4.7,5.936318050197,"Ig_log","Ig","log10",5.53,"Sexual iRBC log","Ig log"
"133",5.53,9.44665015963818,"Ig_log","Ig","log10",5.53,"Sexual iRBC log","Ig log"
"134",5.721,9.54006918373089,"Ig_log","Ig","log10",5.53,"Sexual iRBC log","Ig log"
"135",6.08,9.34639855135394,"Ig_log","Ig","log10",5.53,"Sexual iRBC log","Ig log"
"136",3.98,0.664588536828027,"Ig_log","Ig","log10",6.08,"Sexual iRBC log","Ig log"
"137",4.7,2.53180228260042,"Ig_log","Ig","log10",6.08,"Sexual iRBC log","Ig log"
"138",5.53,8.35544614488404,"Ig_log","Ig","log10",6.08,"Sexual iRBC log","Ig log"
"139",5.721,9.2047767435801,"Ig_log","Ig","log10",6.08,"Sexual iRBC log","Ig log"
"140",6.08,9.95928451968237,"Ig_log","Ig","log10",6.08,"Sexual iRBC log","Ig log"
"141",3.98,5.93256373109689,"Ig_none","Ig","none",3.98,"Sexual iRBC","Ig"
"142",4.7,5.99416011583289,"Ig_none","Ig","none",3.98,"Sexual iRBC","Ig"
"143",5.53,5.11339287713839,"Ig_none","Ig","none",3.98,"Sexual iRBC","Ig"
"144",5.721,4.98679370153426,"Ig_none","Ig","none",3.98,"Sexual iRBC","Ig"
"145",6.08,4.71120662431851,"Ig_none","Ig","none",3.98,"Sexual iRBC","Ig"
"146",3.98,5.12072611743747,"Ig_none","Ig","none",4.7,"Sexual iRBC","Ig"
"147",4.7,7.27158397337854,"Ig_none","Ig","none",4.7,"Sexual iRBC","Ig"
