"","id","cue","log","beta","fitness","default"
"1","G_log","G","log",3.98,6.87536075513521,TRUE
"2","G_log","G","log",4.7,8.31491493682391,FALSE
"3","G_log","G","log",5.53,9.37501282442293,TRUE
"4","G_log","G","log",6.08,9.88780556507357,FALSE
"5","G_none","G","none",3.98,5.94315318015602,FALSE
"6","G_none","G","none",4.7,7.23356101082763,FALSE
"7","G_none","G","none",5.53,8.39849852034893,FALSE
"8","G_none","G","none",6.08,8.89882799668496,FALSE
"9","I_log","I","log",3.98,6.80018895422657,TRUE
"10","I_log","I","log",4.7,8.23571943963931,FALSE
"11","I_log","I","log",5.53,9.30596540683451,TRUE
"12","I_log","I","log",6.08,9.81952847718858,TRUE
"13","I_none","I","none",3.98,6.28422061569805,FALSE
"14","I_none","I","none",4.7,7.47405642963087,FALSE
"15","I_none","I","none",5.53,8.34371017435007,FALSE
"16","I_none","I","none",6.08,8.75056293837118,FALSE
"17","I+Ig_log","I+Ig","log",3.98,6.78640196085194,TRUE
"18","I+Ig_log","I+Ig","log",4.7,8.26368130672711,TRUE
"19","I+Ig_log","I+Ig","log",5.53,9.37643002370652,FALSE
"20","I+Ig_log","I+Ig","log",6.08,9.91018599682023,FALSE
"21","I+Ig_none","I+Ig","none",3.98,6.36811782418333,FALSE
"22","I+Ig_none","I+Ig","none",4.7,7.66851618782395,FALSE
"23","I+Ig_none","I+Ig","none",5.53,8.67693415912769,FALSE
"24","I+Ig_none","I+Ig","none",6.08,9.15963528492057,FALSE
"25","Ig_log","Ig","log",3.98,6.89236392203959,TRUE
"26","Ig_log","Ig","log",4.7,8.34853939942121,FALSE
"27","Ig_log","Ig","log",5.53,9.44665396886229,TRUE
"28","Ig_log","Ig","log",6.08,9.95928530508432,TRUE
"29","Ig_none","Ig","none",3.98,5.9325643289286,FALSE
"30","Ig_none","Ig","none",4.7,7.27158712468235,FALSE
"31","Ig_none","Ig","none",5.53,8.36407603768044,FALSE
"32","Ig_none","Ig","none",6.08,8.90978756240762,FALSE
"33","R_log","R","log",3.98,5.87393010709614,TRUE
"34","R_log","R","log",4.7,7.00136413068078,TRUE
"35","R_log","R","log",5.53,8.00129785883125,FALSE
"36","R_log","R","log",6.08,8.51589759610469,FALSE
"37","R_log+I_log","R log & I log","log",3.98,7.194575275,FALSE
"38","R_log+I_log","R log & I log","log",4.7,8.58703391,FALSE
"39","R_log+I_log","R log & I log","log",5.53,9.679118938,TRUE
"40","R_log+I_log","R log & I log","log",6.08,10.21757116,FALSE
"41","R_none","R","none",3.98,5.89701834506605,TRUE
"42","R_none","R","none",4.7,7.03825908810364,TRUE
"43","R_none","R","none",5.53,8.05468398093871,FALSE
"44","R_none","R","none",6.08,8.57206724596713,FALSE
