id,rho,burst,iota_N1,iota_N2,phi_N1,phi_N2
1,0.2627156,5.721,16.69234,0.8431785,0.03520591,550.842
2,0.25483632,4.05760761,43.9074619,0.86105239,0.01486683,1266.42334
3,0.27710708,3.92125347,45.580983,0.90451433,0.01225722,560.416518
4,0.44323661,4.7838122,55.547286,0.49445235,0.00631038,1011.64185
5,0.136123,4.60260258,54.1518138,2.12705195,0.0420811,2168.60582
6,0.36816398,5.77949156,42.5090478,2.00371825,0.02653977,4063.64227
7,0.36649643,5.54801398,52.0919618,1.07397402,0.01043128,2549.27031
8,0.39799186,3.97305693,11.0059243,0.80423694,0.07817523,214.658757
9,0.3226079,4.0020262,14.6294335,0.76051501,0.03871975,279.017218
10,0.28918332,4.86722708,18.8557136,0.50591169,0.01430833,179.939918
11,0.26167513,4.52765453,14.2641147,1.81914737,0.2288543,295.615134
12,0.4358735,6.04646261,13.843265,2.04490981,0.1009159,536.673244
13,0.29623083,5.46249213,10.0977046,1.14624113,0.05497504,369.250084
14,0.2729932,3.98689937,4.26737351,0.8829752,0.1675597,619.577877
15,0.35098088,3.9377256,5.31459795,0.79805239,0.1102484,4758.37373
16,0.30884181,4.6086141,2.86735777,0.62609195,0.11334135,1210.14362
17,0.1923006,4.57181313,5.28071816,1.84206396,0.40934807,565.52101
18,0.47887314,5.92167555,3.73300854,1.74595788,0.25655991,728.27876
19,0.32876565,5.46088533,3.82595235,1.00360484,0.14065544,2462.04459
20,0.3348041,4.1382574,19.668688,0.80100782,0.0387175,335.872263
21,0.45105014,3.98146722,20.7788483,0.82059535,0.03222346,684.785941
22,0.30662743,4.59434939,13.985168,0.49108425,0.02425707,1726.04041
23,0.35642064,4.5178789,122.477259,1.81112605,0.02896833,390.376833
24,0.55540904,5.88213474,35.583306,1.77822473,0.03262709,219.45284
25,0.49844966,5.67428815,24.4753687,0.80063498,0.03286216,1010.49885
26,0.28604079,4.0468652,9.68523762,0.79834676,0.07139845,972.215955
27,0.3713071,4.06363352,15.6749645,0.77905986,0.03486508,1065.34852
28,0.33421368,4.77617139,10.052886,0.49459365,0.02028395,918.466768
29,0.40912076,4.58223203,13.2391891,1.79078855,0.3001994,62206.8195
30,0.31054484,6.00309769,8.37549191,1.67711406,0.06470292,1282.23883
31,0.32732047,5.50100882,15.7653061,1.17853101,0.02539706,5580.26203
32,0.30085477,4.01813643,8.68581631,0.81750839,0.06272644,188.377901
33,0.40091675,4.00902201,13.4090824,0.84667361,0.0434291,198.27365
34,0.36165653,4.7950789,4.24364983,0.57680637,0.07575613,206.760678
35,0.31057776,4.65054183,37.7865822,1.71338088,0.08780165,1359.38516
36,0.60879709,6.04331829,37.3057996,2.08543806,0.03994433,362.379867
37,0.41128164,5.57944645,11.0674997,0.86759225,0.08096825,284.996434
38,0.40946312,3.9962671,4.73587263,0.73853059,0.17640674,1052.00905
39,0.26731475,3.97913022,16.4770938,0.82054037,0.02620153,997.029716
40,0.34346,4.64551106,4.99307909,0.48156289,0.047151,3573.13058
41,0.21734962,4.61959123,23.7013947,2.01393037,0.14440592,1072.75535
42,0.30488806,6.0151643,10.424627,2.2188518,0.09077127,1539.89039
