cue,log,var1,var2,var3,var4,fitness_20,id,low,high,by,short_label,long_label
I,none,0.1135384,-39.0585154,1941.908281,119.822898,8.49777,I_none,0,6.00E+06,1200,I,Asexual iRBC
I,log,5.463558,2.383948,-17.757281,4.571835,9.494991,I_log,0,6.77815125,0.00135563,I log,Asexual iRBC log
Ig,none,0.05234791,-46.03368629,1897.613135,70.57689145,8.569285,Ig_none,0,6.00E+06,1200,Ig,Sexual iRBC
Ig,log,1.746334,-1.785818,-5.528335,1.573436,9.618812,Ig_log,0,6.77815125,0.00135563,Ig log,Sexual iRBC log
I+Ig,none,0.3159297,-46.1104558,1250.752908,-6.1982093,8.854682,I+Ig_none,0,6.00E+06,1200,I+Ig,Asexual&sexual iRBC
I+Ig,log,3.594042,4.157744,-13.530672,2.599905,9.573291,I+Ig_log,0,6.77815125,0.00135563,I+Ig log,"Asexual&sexual
iRBC log"
R,none,-4.912371,45.345566,-16.844173,11.91522,8.24429,R_none,1.00E+06,1.00E+07,1800,R,RBC
R,log,3.460017,203.970669,-45.649759,1.691582,8.190144,R_log,6,7,2.00E-04,R log,RBC log
G,none,0.04061288,-9.31445958,74.13015506,-431.5984364,8.58856,G_none,0,60000,12,G,Gametocyte
G,log,1.211521,-3.936778,-1.312944,-1.285713,9.561373,G_log,0,4.77815125,0.00095563,G log,Gametocyte log
t,none,4.55386,-13.0056,4.15466,-11.9424,9.7879,time,0,20,0.001,Time,Time
