"label","time","transmission_investment"
"G log & I log",0,NA
"G log & I log",0.01,0
"G log & I log",0.02,0
"G log & I log",0.03,0
"G log & I log",0.04,0
"G log & I log",0.05,0
"G log & I log",0.06,0
"G log & I log",0.07,0
"G log & I log",0.08,0
"G log & I log",0.09,0
"G log & I log",0.1,0
"G log & I log",0.11,0
"G log & I log",0.12,0
"G log & I log",0.13,0
"G log & I log",0.14,0
"G log & I log",0.15,0
"G log & I log",0.16,0
"G log & I log",0.17,0
"G log & I log",0.18,0
"G log & I log",0.19,0
"G log & I log",0.2,0
"G log & I log",0.21,0
"G log & I log",0.22,0
"G log & I log",0.23,0
"G log & I log",0.24,0
"G log & I log",0.25,0
"G log & I log",0.26,0
"G log & I log",0.27,0
"G log & I log",0.28,0
"G log & I log",0.29,0
"G log & I log",0.3,0
"G log & I log",0.31,0
"G log & I log",0.32,0
"G log & I log",0.33,0
"G log & I log",0.34,0
"G log & I log",0.35,0
"G log & I log",0.36,0
"G log & I log",0.37,0
"G log & I log",0.38,0
"G log & I log",0.39,0
"G log & I log",0.4,0
"G log & I log",0.41,0
"G log & I log",0.42,0
"G log & I log",0.43,0
"G log & I log",0.44,0
"G log & I log",0.45,0
"G log & I log",0.46,0
"G log & I log",0.47,0
"G log & I log",0.48,0
"G log & I log",0.49,0
"G log & I log",0.5,0
"G log & I log",0.51,0
"G log & I log",0.52,0
"G log & I log",0.53,0
"G log & I log",0.54,0
"G log & I log",0.55,0
"G log & I log",0.56,0
"G log & I log",0.57,0
"G log & I log",0.58,0
"G log & I log",0.59,0
"G log & I log",0.6,0
"G log & I log",0.61,0
"G log & I log",0.62,0
"G log & I log",0.63,0
"G log & I log",0.64,0
"G log & I log",0.65,0
"G log & I log",0.66,0
"G log & I log",0.67,0
"G log & I log",0.68,0
"G log & I log",0.69,0
"G log & I log",0.7,0
"G log & I log",0.71,0
"G log & I log",0.72,0
"G log & I log",0.73,0
"G log & I log",0.74,0
"G log & I log",0.75,0
"G log & I log",0.76,0
"G log & I log",0.77,0
"G log & I log",0.78,0
"G log & I log",0.79,0
"G log & I log",0.8,0
"G log & I log",0.81,0
"G log & I log",0.82,0
"G log & I log",0.83,0
"G log & I log",0.84,0
"G log & I log",0.85,0
"G log & I log",0.86,0
"G log & I log",0.87,0
"G log & I log",0.88,0
"G log & I log",0.89,0
"G log & I log",0.9,0
"G log & I log",0.91,0
"G log & I log",0.92,0
"G log & I log",0.93,0
"G log & I log",0.94,0
"G log & I log",0.95,0
"G log & I log",0.96,0
"G log & I log",0.97,0
"G log & I log",0.98,0
"G log & I log",0.99,0
"G log & I log",1,0
"G log & I log",1.01,0.050625726256122
"G log & I log",1.02,0.0497740259134191
"G log & I log",1.03,0.0484073177773594
"G log & I log",1.04,0.0469476724966274
"G log & I log",1.05,0.0455161803978153
"G log & I log",1.06,0.0441442325649936
"G log & I log",1.07,0.0428374454628443
"G log & I log",1.08,0.041594328350314
"G log & I log",1.09,0.0404121971981434
"G log & I log",1.1,0.0392860916458958
"G log & I log",1.11,0.0382122290368644
"G log & I log",1.12,0.0371893935920967
"G log & I log",1.13,0.0362130644752765
"G log & I log",1.14,0.0352810041236615
"G log & I log",1.15,0.0343899459965458
"G log & I log",1.16,0.0335380002356947
"G log & I log",1.17,0.032722988939868
"G log & I log",1.18,0.0319427049052447
"G log & I log",1.19,0.0311952766310446
"G log & I log",1.2,0.0304788352839746
"G log & I log",1.21,0.0297915170574557
"G log & I log",1.22,0.0291317556658618
"G log & I log",1.23,0.028498130449419
"G log & I log",1.24,0.0278893220625388
"G log & I log",1.25,0.027304065455566
"G log & I log",1.26,0.0267411581633509
"G log & I log",1.27,0.0261994672624265
"G log & I log",1.28,0.0256779298388148
"G log & I log",1.29,0.0251755518789908
"G log & I log",1.3,0.0246914150048613
"G log & I log",1.31,0.0242246477426317
"G log & I log",1.32,0.0237744292363016
"G log & I log",1.33,0.0233399788115797
"G log & I log",1.34,0.0229205661847852
"G log & I log",1.35,0.0225155031834502
"G log & I log",1.36,0.022124142374841
"G log & I log",1.37,0.0217458726553335
"G log & I log",1.38,0.0213801157162
"G log & I log",1.39,0.0210263244002305
"G log & I log",1.4,0.0206839815055284
"G log & I log",1.41,0.0203525979643005
"G log & I log",1.42,0.0200317106827384
"G log & I log",1.43,0.019720880696893
"G log & I log",1.44,0.0194196917666162
"G log & I log",1.45,0.019127749119271
"G log & I log",1.46,0.0188446781505978
"G log & I log",1.47,0.0185701231372293
"G log & I log",1.48,0.0183037460720148
"G log & I log",1.49,0.0180452256337791
"G log & I log",1.5,0.0177942562335881
"G log & I log",1.51,0.0175505471009871
"G log & I log",1.52,0.0173138214181518
"G log & I log",1.53,0.0170838155183328
"G log & I log",1.54,0.0168602781466283
"G log & I log",1.55,0.0166429697695921
"G log & I log",1.56,0.016431661924915
"G log & I log",1.57,0.0162261366105421
"G log & I log",1.58,0.0160261857139212
"G log & I log",1.59,0.0158316104788395
"G log & I log",1.6,0.015642221005539
"G log & I log",1.61,0.0154578357808896
"G log & I log",1.62,0.0152782812369953
"G log & I log",1.63,0.015103391336883
"G log & I log",1.64,0.0149330071854435
"G log & I log",1.65,0.0147669766636004
"G log & I log",1.66,0.014605154083995
"G log & I log",1.67,0.0144473998668383
"G log & I log",1.68,0.0142935802346984
"G log & I log",1.69,0.0141435669249693
"G log & I log",1.7,0.0139972369188258
"G log & I log",1.71,0.0138544721855462
"G log & I log",1.72,0.0137151594412577
"G log & I log",1.73,0.0135791899211805
"G log & I log",1.74,0.0134464591645317
"G log & I log",1.75,0.013316866811271
"G log & I log",1.76,0.0131903164099504
"G log & I log",1.77,0.0130667152359858
"G log & I log",1.78,0.0129459741197092
"G log & I log",1.79,0.0128280072836079
"G log & I log",1.8,0.0127127321881897
"G log & I log",1.81,0.012600069385961
"G log & I log",1.82,0.0124899423830271
"G log & I log",1.83,0.0123822775078716
"G log & I log",1.84,0.0122770037868848
"G log & I log",1.85,0.0121740528262571
"G log & I log",1.86,0.0120733586998583
"G log & I log",1.87,0.0119748578427659
"G log & I log",1.88,0.0118784889501171
"G log & I log",1.89,0.0117841928809818
"G log & I log",1.9,0.0116919125669773
"G log & I log",1.91,0.011601592925355
"G log & I log",1.92,0.0115131807763125
"G log & I log",1.93,0.0114266247643026
"G log & I log",1.94,0.01134187528311
"G log & I log",1.95,0.0112588844045029
"G log & I log",1.96,0.0111776058102555
"G log & I log",1.97,0.011097994727368
"G log & I log",1.98,0.0110200078663102
"G log & I log",1.99,0.0109436033621273
"G log & I log",2,0.0108687407182617
"G log & I log",2.01,0.0107989197091148
"G log & I log",2.02,0.0107220400487544
"G log & I log",2.03,0.0105824384749025
"G log & I log",2.04,0.010402538789947
"G log & I log",2.05,0.0102106984871161
"G log & I log",2.06,0.010021118293976
"G log & I log",2.07,0.0098392225502994
"G log & I log",2.08,0.00966657800607514
"G log & I log",2.09,0.00950331765911631
"G log & I log",2.1,0.00934908638531191
"G log & I log",2.11,0.0092033947871429
"G log & I log",2.12,0.00906573803623814
"G log & I log",2.13,0.00893563320932371
"G log & I log",2.14,0.00881262495793476
"G log & I log",2.15,0.00869628606584745
"G log & I log",2.16,0.00858624248744229
"G log & I log",2.17,0.00848210920833294
"G log & I log",2.18,0.00838359668786232
"G log & I log",2.19,0.00829033526251501
"G log & I log",2.2,0.00820208220856274
"G log & I log",2.21,0.00811853842556179
"G log & I log",2.22,0.00803946406507695
"G log & I log",2.23,0.00796463288988171
"G log & I log",2.24,0.00789380058633
"G log & I log",2.25,0.00782676936930023
"G log & I log",2.26,0.00776338038661617
"G log & I log",2.27,0.00770345742440309
"G log & I log",2.28,0.00764682330037895
"G log & I log",2.29,0.00759330277885148
"G log & I log",2.3,0.00754274947949961
"G log & I log",2.31,0.00749503087699062
"G log & I log",2.32,0.00745002336207043
"G log & I log",2.33,0.00740760767803973
"G log & I log",2.34,0.00736766982236646
"G log & I log",2.35,0.00733010190008196
"G log & I log",2.36,0.0072948023051321
"G log & I log",2.37,0.0072616756546278
"G log & I log",2.38,0.00723063339160418
"G log & I log",2.39,0.00720159120905332
"G log & I log",2.4,0.00717446938459654
"G log & I log",2.41,0.00714919186731548
"G log & I log",2.42,0.00712568721170266
"G log & I log",2.43,0.0071038877717259
"G log & I log",2.44,0.00708372989093632
"G log & I log",2.45,0.00706515315051191
"G log & I log",2.46,0.00704810008714911
"G log & I log",2.47,0.00703251619549525
"G log & I log",2.48,0.00701834985318839
"G log & I log",2.49,0.00700555209389789
"G log & I log",2.5,0.00699407637155813
"G log & I log",2.51,0.00698387841024072
