"label","iter","parameter","value"
"RBC replenishment (ρ)",1,"rho",0.2627156
"Burst size (β)",1,"burst",5.721
"Activation indis (ψn)",1,"iota_N1",16.69234
"Activation targeted (ψw)",1,"iota_N2",0.8431785
"Half-life indis (ϕn)",1,"phi_N1",0.03520591
"Half-life targeted (ϕw)",1,"phi_N2",550.842
"RBC replenishment (ρ)",2,"rho",0.25483632
"Burst size (β)",2,"burst",4.05760761
"Activation indis (ψn)",2,"iota_N1",43.9074619
"Activation targeted (ψw)",2,"iota_N2",0.86105239
"Half-life indis (ϕn)",2,"phi_N1",0.01486683
"Half-life targeted (ϕw)",2,"phi_N2",1266.42334
"RBC replenishment (ρ)",3,"rho",0.27710708
"Burst size (β)",3,"burst",3.92125347
"Activation indis (ψn)",3,"iota_N1",45.580983
"Activation targeted (ψw)",3,"iota_N2",0.90451433
"Half-life indis (ϕn)",3,"phi_N1",0.01225722
"Half-life targeted (ϕw)",3,"phi_N2",560.416518
"RBC replenishment (ρ)",4,"rho",0.44323661
"Burst size (β)",4,"burst",4.7838122
"Activation indis (ψn)",4,"iota_N1",55.547286
"Activation targeted (ψw)",4,"iota_N2",0.49445235
"Half-life indis (ϕn)",4,"phi_N1",0.00631038
"Half-life targeted (ϕw)",4,"phi_N2",1011.64185
"RBC replenishment (ρ)",5,"rho",0.136123
"Burst size (β)",5,"burst",4.60260258
"Activation indis (ψn)",5,"iota_N1",54.1518138
"Activation targeted (ψw)",5,"iota_N2",2.12705195
"Half-life indis (ϕn)",5,"phi_N1",0.0420811
"Half-life targeted (ϕw)",5,"phi_N2",2168.60582
"RBC replenishment (ρ)",6,"rho",0.36816398
"Burst size (β)",6,"burst",5.77949156
"Activation indis (ψn)",6,"iota_N1",42.5090478
"Activation targeted (ψw)",6,"iota_N2",2.00371825
"Half-life indis (ϕn)",6,"phi_N1",0.02653977
"Half-life targeted (ϕw)",6,"phi_N2",4063.64227
"RBC replenishment (ρ)",7,"rho",0.36649643
"Burst size (β)",7,"burst",5.54801398
"Activation indis (ψn)",7,"iota_N1",52.0919618
"Activation targeted (ψw)",7,"iota_N2",1.07397402
"Half-life indis (ϕn)",7,"phi_N1",0.01043128
"Half-life targeted (ϕw)",7,"phi_N2",2549.27031
"RBC replenishment (ρ)",8,"rho",0.39799186
"Burst size (β)",8,"burst",3.97305693
"Activation indis (ψn)",8,"iota_N1",11.0059243
"Activation targeted (ψw)",8,"iota_N2",0.80423694
"Half-life indis (ϕn)",8,"phi_N1",0.07817523
"Half-life targeted (ϕw)",8,"phi_N2",214.658757
