"long_label","time","transmission_investment"
"Asexual iRBC",0,NA
"Asexual iRBC",0.001,0
"Asexual iRBC",0.002,0
"Asexual iRBC",0.003,0
"Asexual iRBC",0.004,0
"Asexual iRBC",0.005,0
"Asexual iRBC",0.006,0
"Asexual iRBC",0.007,0
"Asexual iRBC",0.008,0
"Asexual iRBC",0.009,0
"Asexual iRBC",0.01,0
"Asexual iRBC",0.011,0
"Asexual iRBC",0.012,0
"Asexual iRBC",0.013,0
"Asexual iRBC",0.014,0
"Asexual iRBC",0.015,0
"Asexual iRBC",0.016,0
"Asexual iRBC",0.017,0
"Asexual iRBC",0.018,0
"Asexual iRBC",0.019,0
"Asexual iRBC",0.02,0
"Asexual iRBC",0.021,0
"Asexual iRBC",0.022,0
"Asexual iRBC",0.023,0
"Asexual iRBC",0.024,0
"Asexual iRBC",0.025,0
"Asexual iRBC",0.026,0
"Asexual iRBC",0.027,0
"Asexual iRBC",0.028,0
"Asexual iRBC",0.029,0
"Asexual iRBC",0.03,0
"Asexual iRBC",0.031,0
"Asexual iRBC",0.032,0
"Asexual iRBC",0.033,0
"Asexual iRBC",0.034,0
"Asexual iRBC",0.035,0
"Asexual iRBC",0.036,0
"Asexual iRBC",0.037,0
"Asexual iRBC",0.038,0
"Asexual iRBC",0.039,0
"Asexual iRBC",0.04,0
"Asexual iRBC",0.041,0
"Asexual iRBC",0.042,0
"Asexual iRBC",0.043,0
"Asexual iRBC",0.044,0
"Asexual iRBC",0.045,0
"Asexual iRBC",0.046,0
"Asexual iRBC",0.047,0
"Asexual iRBC",0.048,0
"Asexual iRBC",0.049,0
"Asexual iRBC",0.05,0
"Asexual iRBC",0.051,0
"Asexual iRBC",0.052,0
"Asexual iRBC",0.053,0
"Asexual iRBC",0.054,0
"Asexual iRBC",0.055,0
"Asexual iRBC",0.056,0
"Asexual iRBC",0.057,0
"Asexual iRBC",0.058,0
"Asexual iRBC",0.059,0
"Asexual iRBC",0.06,0
"Asexual iRBC",0.061,0
"Asexual iRBC",0.062,0
"Asexual iRBC",0.063,0
"Asexual iRBC",0.064,0
"Asexual iRBC",0.065,0
"Asexual iRBC",0.066,0
"Asexual iRBC",0.067,0
"Asexual iRBC",0.068,0
"Asexual iRBC",0.069,0
"Asexual iRBC",0.07,0
"Asexual iRBC",0.071,0
"Asexual iRBC",0.072,0
"Asexual iRBC",0.073,0
"Asexual iRBC",0.074,0
"Asexual iRBC",0.075,0
"Asexual iRBC",0.076,0
"Asexual iRBC",0.077,0
"Asexual iRBC",0.078,0
"Asexual iRBC",0.079,0
"Asexual iRBC",0.08,0
"Asexual iRBC",0.081,0
"Asexual iRBC",0.082,0
"Asexual iRBC",0.083,0
"Asexual iRBC",0.084,0
"Asexual iRBC",0.085,0
"Asexual iRBC",0.086,0
"Asexual iRBC",0.087,0
"Asexual iRBC",0.088,0
"Asexual iRBC",0.089,0
"Asexual iRBC",0.09,0
"Asexual iRBC",0.091,0
"Asexual iRBC",0.092,0
"Asexual iRBC",0.093,0
"Asexual iRBC",0.094,0
"Asexual iRBC",0.095,0
"Asexual iRBC",0.096,0
"Asexual iRBC",0.097,0
"Asexual iRBC",0.098,0
"Asexual iRBC",0.099,0
"Asexual iRBC",0.1,0
"Asexual iRBC",0.101,0
"Asexual iRBC",0.102,0
"Asexual iRBC",0.103,0
"Asexual iRBC",0.104,0
"Asexual iRBC",0.105,0
"Asexual iRBC",0.106,0
"Asexual iRBC",0.107,0
"Asexual iRBC",0.108,0
"Asexual iRBC",0.109,0
"Asexual iRBC",0.11,0
"Asexual iRBC",0.111,0
"Asexual iRBC",0.112,0
"Asexual iRBC",0.113,0
"Asexual iRBC",0.114,0
"Asexual iRBC",0.115,0
"Asexual iRBC",0.116,0
"Asexual iRBC",0.117,0
"Asexual iRBC",0.118,0
"Asexual iRBC",0.119,0
"Asexual iRBC",0.12,0
"Asexual iRBC",0.121,0
"Asexual iRBC",0.122,0
"Asexual iRBC",0.123,0
"Asexual iRBC",0.124,0
"Asexual iRBC",0.125,0
"Asexual iRBC",0.126,0
"Asexual iRBC",0.127,0
"Asexual iRBC",0.128,0
"Asexual iRBC",0.129,0
"Asexual iRBC",0.13,0
"Asexual iRBC",0.131,0
"Asexual iRBC",0.132,0
"Asexual iRBC",0.133,0
"Asexual iRBC",0.134,0
"Asexual iRBC",0.135,0
"Asexual iRBC",0.136,0
"Asexual iRBC",0.137,0
"Asexual iRBC",0.138,0
"Asexual iRBC",0.139,0
"Asexual iRBC",0.14,0
"Asexual iRBC",0.141,0
"Asexual iRBC",0.142,0
"Asexual iRBC",0.143,0
"Asexual iRBC",0.144,0
"Asexual iRBC",0.145,0
"Asexual iRBC",0.146,0
"Asexual iRBC",0.147,0
"Asexual iRBC",0.148,0
"Asexual iRBC",0.149,0
"Asexual iRBC",0.15,0
"Asexual iRBC",0.151,0
"Asexual iRBC",0.152,0
"Asexual iRBC",0.153,0
"Asexual iRBC",0.154,0
"Asexual iRBC",0.155,0
"Asexual iRBC",0.156,0
"Asexual iRBC",0.157,0
"Asexual iRBC",0.158,0
"Asexual iRBC",0.159,0
"Asexual iRBC",0.16,0
"Asexual iRBC",0.161,0
"Asexual iRBC",0.162,0
"Asexual iRBC",0.163,0
"Asexual iRBC",0.164,0
"Asexual iRBC",0.165,0
"Asexual iRBC",0.166,0
"Asexual iRBC",0.167,0
"Asexual iRBC",0.168,0
