"","long_label","cue_value","transmission_investment"
"1","Asexual iRBC none",0,0.326203158840976
"2","Asexual iRBC none",1200.2400480096,0.334691012915265
"3","Asexual iRBC none",2400.4800960192,0.34301960715608
"4","Asexual iRBC none",3600.72014402881,0.351183424013464
"5","Asexual iRBC none",4800.96019203841,0.359177617517733
"6","Asexual iRBC none",6001.20024004801,0.366997970455628
"7","Asexual iRBC none",7201.44028805761,0.374640852063078
"8","Asexual iRBC none",8401.68033606721,0.382103176532945
"9","Asexual iRBC none",9601.92038407682,0.389382362581218
"10","Asexual iRBC none",10802.1604320864,0.396476294266336
"11","Asexual iRBC none",12002.400480096,0.403383283213136
"12","Asexual iRBC none",13202.6405281056,0.410102032355186
"13","Asexual iRBC none",14402.8805761152,0.416631601276362
"14","Asexual iRBC none",15603.1206241248,0.422971373204237
"15","Asexual iRBC none",16803.3606721344,0.429121023683616
"16","Asexual iRBC none",18003.600720144,0.435080490938064
"17","Asexual iRBC none",19203.8407681536,0.440849947910133
"18","Asexual iRBC none",20404.0808161632,0.44642977595678
"19","Asexual iRBC none",21604.3208641728,0.451820540164918
"20","Asexual iRBC none",22804.5609121824,0.457022966242802
"21","Asexual iRBC none",24004.800960192,0.462037918935687
"22","Asexual iRBC none",25205.0410082016,0.466866381908775
"23","Asexual iRBC none",26405.2810562112,0.471509439036433
"24","Asexual iRBC none",27605.5211042208,0.475968257034067
"25","Asexual iRBC none",28805.7611522304,0.480244069367419
"26","Asexual iRBC none",30006.00120024,0.48433816137347
"27","Asexual iRBC none",31206.2412482496,0.488251856527235
"28","Asexual iRBC none",32406.4812962593,0.491986503789574
"29","Asexual iRBC none",33606.7213442689,0.495543465972425
"30","Asexual iRBC none",34806.9613922785,0.498924109059659
"31","Asexual iRBC none",36007.2014402881,0.50212979242381
"32","Asexual iRBC none",37207.4414882977,0.50516185988131
"33","Asexual iRBC none",38407.6815363073,0.508021631531415
"34","Asexual iRBC none",39607.9215843169,0.510710396326691
"35","Asexual iRBC none",40808.1616323265,0.513229405325775
"36","Asexual iRBC none",42008.4016803361,0.515579865581925
"37","Asexual iRBC none",43208.6417283457,0.517762934623851
"38","Asexual iRBC none",44408.8817763553,0.51977971548815
"39","Asexual iRBC none",45609.1218243649,0.521631252265614
"40","Asexual iRBC none",46809.3618723745,0.52331852612651
"41","Asexual iRBC none",48009.6019203841,0.524842451792767
"42","Asexual iRBC none",49209.8419683937,0.526203874427781
"43","Asexual iRBC none",50410.0820164033,0.52740356691725
"44","Asexual iRBC none",51610.3220644129,0.528442227517145
"45","Asexual iRBC none",52810.5621124225,0.529320477847487
"46","Asexual iRBC none",54010.8021604321,0.530038861213186
"47","Asexual iRBC none",55211.0422084417,0.530597841235645
"48","Asexual iRBC none",56411.2822564513,0.530997800781322
"49","Asexual iRBC none",57611.5223044609,0.531239041175778
"50","Asexual iRBC none",58811.7623524705,0.531321781694123
"51","Asexual iRBC none",60012.0024004801,0.531246159321072
"52","Asexual iRBC none",61212.2424484897,0.531012228776085
"53","Asexual iRBC none",62412.4824964993,0.530619962801344
