"","label","dual_cue_fitness_normalized","best_single_cue_fitness_normalized"
"1","G log & I log",0.9780359472622,0.96739761475624
"2","G log & Total I log",0.974363923597895,0.96860345044246
"3","G log & Ig log",0.97710548193092,0.973209159980339
"4","G log & R log",0.975107397485249,0.96739761475624
"5","Total I log & I log",0.975018529985323,0.96860345044246
"6","Total I log & Ig log",0.975640136561549,0.973209159980339
"7","Ig log & I log",0.975681774519047,0.973209159980339
"8","R log & I log",0.999714582497353,0.960681237467879
"9","R log & Total I log",0.988857810245896,0.96860345044246
"10","R log & Ig log",0.976894557267684,0.973209159980339
