"","label","time","transmission_investment"
"1","I log (df=9)",0,NA
"2","I log (df=9)",0.001,0
"3","I log (df=9)",0.002,0
"4","I log (df=9)",0.003,0
"5","I log (df=9)",0.004,0
"6","I log (df=9)",0.005,0
"7","I log (df=9)",0.006,0
"8","I log (df=9)",0.007,0
"9","I log (df=9)",0.008,0
"10","I log (df=9)",0.009,0
"11","I log (df=9)",0.01,0
"12","I log (df=9)",0.011,0
"13","I log (df=9)",0.012,0
"14","I log (df=9)",0.013,0
"15","I log (df=9)",0.014,0
"16","I log (df=9)",0.015,0
"17","I log (df=9)",0.016,0
"18","I log (df=9)",0.017,0
"19","I log (df=9)",0.018,0
"20","I log (df=9)",0.019,0
"21","I log (df=9)",0.02,0
"22","I log (df=9)",0.021,0
"23","I log (df=9)",0.022,0
"24","I log (df=9)",0.023,0
"25","I log (df=9)",0.024,0
"26","I log (df=9)",0.025,0
"27","I log (df=9)",0.026,0
"28","I log (df=9)",0.027,0
"29","I log (df=9)",0.028,0
"30","I log (df=9)",0.029,0
"31","I log (df=9)",0.03,0
"32","I log (df=9)",0.031,0
"33","I log (df=9)",0.032,0
"34","I log (df=9)",0.033,0
"35","I log (df=9)",0.034,0
"36","I log (df=9)",0.035,0
"37","I log (df=9)",0.036,0
"38","I log (df=9)",0.037,0
"39","I log (df=9)",0.038,0
"40","I log (df=9)",0.039,0
"41","I log (df=9)",0.04,0
"42","I log (df=9)",0.041,0
"43","I log (df=9)",0.042,0
"44","I log (df=9)",0.043,0
"45","I log (df=9)",0.044,0
"46","I log (df=9)",0.045,0
"47","I log (df=9)",0.046,0
"48","I log (df=9)",0.047,0
"49","I log (df=9)",0.048,0
"50","I log (df=9)",0.049,0
"51","I log (df=9)",0.05,0
"52","I log (df=9)",0.051,0
"53","I log (df=9)",0.052,0
"54","I log (df=9)",0.053,0
"55","I log (df=9)",0.054,0
"56","I log (df=9)",0.055,0
"57","I log (df=9)",0.056,0
"58","I log (df=9)",0.057,0
"59","I log (df=9)",0.058,0
"60","I log (df=9)",0.059,0
"61","I log (df=9)",0.06,0
"62","I log (df=9)",0.061,0
"63","I log (df=9)",0.062,0
"64","I log (df=9)",0.063,0
"65","I log (df=9)",0.064,0
"66","I log (df=9)",0.065,0
"67","I log (df=9)",0.066,0
"68","I log (df=9)",0.067,0
"69","I log (df=9)",0.068,0
"70","I log (df=9)",0.069,0
"71","I log (df=9)",0.07,0
"72","I log (df=9)",0.071,0
"73","I log (df=9)",0.072,0
"74","I log (df=9)",0.073,0
"75","I log (df=9)",0.074,0
"76","I log (df=9)",0.075,0
"77","I log (df=9)",0.076,0
"78","I log (df=9)",0.077,0
"79","I log (df=9)",0.078,0
"80","I log (df=9)",0.079,0
"81","I log (df=9)",0.08,0
"82","I log (df=9)",0.081,0
"83","I log (df=9)",0.082,0
"84","I log (df=9)",0.083,0
"85","I log (df=9)",0.084,0
"86","I log (df=9)",0.085,0
"87","I log (df=9)",0.086,0
"88","I log (df=9)",0.087,0
"89","I log (df=9)",0.088,0
"90","I log (df=9)",0.089,0
"91","I log (df=9)",0.09,0
"92","I log (df=9)",0.091,0
"93","I log (df=9)",0.092,0
"94","I log (df=9)",0.093,0
"95","I log (df=9)",0.094,0
"96","I log (df=9)",0.095,0
"97","I log (df=9)",0.096,0
"98","I log (df=9)",0.097,0
"99","I log (df=9)",0.098,0
