"","Study","Strain","Dose","Mouse","Gametocyte","iRBC","RBC"
"1","emph2018","As6p",1e+06,1,12.51290989,12353.90693675,9734000
"2","emph2018","As6p",1e+06,1,22.5064642,91041.5342433,9034000
"3","emph2018","As6p",1e+06,1,32.9437373,317875.0415734,8945000
"4","emph2018","As6p",1e+06,1,813.675458,704275.7083651,8655000
"5","emph2018","As6p",1e+06,1,947.811401,1016266.455001,4739000
"6","emph2018","As6p",1e+06,1,2011.96055,356793.7129295,3190400
"7","emph2018","As6p",1e+06,1,573.144749,42433.376151,4127000
"8","emph2018","As6p",1e+06,1,181.650193,2168.711427,5027000
"9","emph2018","As6p",1e+06,1,322.215207,1375.207913,5496000
"10","emph2018","As6p",1e+06,1,500.56441,58.245882,5880000
"11","emph2018","As6p",1e+06,1,109.2849185,82.2832975,5870000
"12","emph2018","As6p",1e+06,1,13.28949994,159.07027606,6863000
"13","emph2018","As6p",1e+06,1,4.69410781,136.12020219,7633000
"14","emph2018","As6p",1e+06,1,3.29387358,88.42585642,7422000
"15","emph2018","As6p",1e+06,1,2.20896249,316.41075051,8139000
"16","emph2018","As6p",1e+06,1,0,324.667174,8260000
"17","emph2018","As6p",1e+06,1,0,0,8038000
"18","emph2018","As6p",1e+06,1,0,184.676246,7669000
"19","emph2018","As6p",1e+06,1,0,48.6415486,8578000
"20","emph2018","As6p",1e+06,2,17.0155317,8404.3344581,9241000
"21","emph2018","As6p",1e+06,2,48.8336457,55478.90670267,9418000
"22","emph2018","As6p",1e+06,2,279.268041,225937.4858797,7992000
"23","emph2018","As6p",1e+06,2,984.045125,358511.9427444,8024000
"24","emph2018","As6p",1e+06,2,531.752335,671959.9015641,6063000
"25","emph2018","As6p",1e+06,2,1297.480556,192241.424889,4338000
"26","emph2018","As6p",1e+06,2,498.085095,17590.281305,3901000
"27","emph2018","As6p",1e+06,2,79.83823,9994.608835,4663000
"28","emph2018","As6p",1e+06,2,297.14626,1763.38147,5401000
"29","emph2018","As6p",1e+06,2,924.571574,104.044956,6108000
"30","emph2018","As6p",1e+06,2,351.799794,828.851196,5838000
"31","emph2018","As6p",1e+06,2,88.6640198,219.6565662,6839000
"32","emph2018","As6p",1e+06,2,18.4160946,59.7389594,6302000
"33","emph2018","As6p",1e+06,2,0,0,7382000
"34","emph2018","As6p",1e+06,2,0,15.4281916,7264000
"35","emph2018","As6p",1e+06,2,0,0,7068000
"36","emph2018","As6p",1e+06,2,0,363.159997,7927000
"37","emph2018","As6p",1e+06,2,0,0,6621000
"38","emph2018","As6p",1e+06,2,0,0,6959000
"39","emph2018","As6p",1e+06,3,5.048657,1175.129980673,10030000
"40","emph2018","As6p",1e+06,3,13.97230472,7835.007514622,9274000
"41","emph2018","As6p",1e+06,3,12.00641513,60287.80528485,8350000
"42","emph2018","As6p",1e+06,3,359.057685,266035.1267175,9552000
"43","emph2018","As6p",1e+06,3,1265.200875,579264.9226819,6743000
"44","emph2018","As6p",1e+06,3,777.560341,765986.1134468,5043000
"45","emph2018","As6p",1e+06,3,661.606994,148947.245006,3980000
"46","emph2018","As6p",1e+06,3,307.083526,76132.683619,3881000
"47","emph2018","As6p",1e+06,3,179.86823,3090.81406,4158000
"48","emph2018","As6p",1e+06,3,94.2848484,244.3781066,6385000
"49","emph2018","As6p",1e+06,3,131.1611937,22.0912093,6974000
"50","emph2018","As6p",1e+06,3,66.084105,39.03414,7610000
"51","emph2018","As6p",1e+06,3,40.8288164,148.4257076,7562000
"52","emph2018","As6p",1e+06,3,17.388072,376.412356,8250000
"53","emph2018","As6p",1e+06,3,5.92510557,396.62475543,8664000
"54","emph2018","As6p",1e+06,3,3.96380307,561.52090793,8688000
"55","emph2018","As6p",1e+06,3,3.27882621,36.12285749,8274000
"56","emph2018","As6p",1e+06,3,0,223.885103,8060000
"57","emph2018","As6p",1e+06,3,8.13641162,113.31928538,7729000
"58","emph2018","As6p",1e+06,4,66.7252973,28276.54767577,8608000
"59","emph2018","As6p",1e+06,4,107.3274743,197554.0416309,8634000
"60","emph2018","As6p",1e+06,4,819.228552,778743.9908286,8554000
"61","emph2018","As6p",1e+06,4,2716.74335,4048595.168714,6320000
"62","emph2018","As6p",1e+06,4,165.866888,1476483.783207,3432000
"63","emph2018","As6p",1e+06,4,1992.06887,849627.671786,2500000
"64","emph2018","As6p",1e+06,4,811.22901,107884.90199,2187000
"65","emph2018","As6p",1e+06,4,142.965734,76903.263366,2633000
"66","emph2018","As6p",1e+06,4,212.846692,45183.480508,3942000
"67","emph2018","As6p",1e+06,4,2904.89978,25597.42172,5037000
"68","emph2018","As6p",1e+06,4,5161.21933,39952.12027,4190000
"69","emph2018","As6p",1e+06,4,3740.36463,32061.33537,5460000
"70","emph2018","As6p",1e+06,4,1051.761148,13977.644052,5161000
"71","emph2018","As6p",1e+06,4,328.359907,2789.522783,5902000
"72","emph2018","As6p",1e+06,4,69.6989034,603.9440566,6142000
"73","emph2018","As6p",1e+06,4,3.45114932,224.87290768,6047000
"74","emph2018","As6p",1e+06,4,5.7208586,227.1563524,7265000
"75","emph2018","As6p",1e+06,4,0,27.4541368,6517000
"76","emph2018","As6p",1e+06,4,0,0,6921000
"77","emph2018","As6p",1e+06,5,0,7027.926520077,9671000
"78","emph2018","As6p",1e+06,5,107.6535721,49982.78866206,9914000
"79","emph2018","As6p",1e+06,5,349.351917,186835.9095947,9541000
"80","emph2018","As6p",1e+06,5,1403.160822,393633.0928702,8755000
"81","emph2018","As6p",1e+06,5,132.5701877,624721.7258602,6341000
"82","emph2018","As6p",1e+06,5,376.388597,238715.9830767,3397600
"83","emph2018","As6p",1e+06,5,213.6355,13205.6068,3556000
"84","emph2018","As6p",1e+06,5,44.3285803,6826.7313997,3695000
"85","emph2018","As6p",1e+06,5,15.3065906,307.5710694,6154000
