"","label","fitness_normalized","area"
"1","I",0.859784722209575,282695569426.801
"2","I log",0.960681237467879,140285283204.371
"3","Ig",0.867020444570714,210927534192.546
"4","Ig log",0.973209159980339,184022170231.485
"5","Total I",0.895896253208092,196135156741.153
"6","Total I log",0.96860345044246,160695637884.79
"7","R",0.834138201841798,170061382710.701
"8","R log",0.828659834744459,170993207815.023
"9","G",0.868970644507943,255456923883.683
"10","G log",0.96739761475624,184875855377.065
