"","label","time","RBC","total_iRBC"
"1","R log & I log",0,8890000,0
"2","R log & I log",0.01,8889999.24224437,44.0326805486819
"3","R log & I log",0.02,8889997.65115145,44.8149300822929
"4","R log & I log",0.03,8889995.70448842,45.7819361654412
"5","R log & I log",0.04,8889993.56976798,46.8046988389459
"6","R log & I log",0.05,8889991.31468666,47.8440347166678
"7","R log & I log",0.06,8889988.97244336,48.888060257256
"8","R log & I log",0.07,8889986.56274787,49.9331060982291
"9","R log & I log",0.08,8889984.09871193,50.9781260934894
"10","R log & I log",0.09,8889981.5897547,52.0227606693549
"11","R log & I log",0.1,8889979.04315663,53.0669094776564
"12","R log & I log",0.11,8889976.46370533,54.110547142887
"13","R log & I log",0.12,8889973.85519234,55.1536634679776
"14","R log & I log",0.13,8889971.22084604,56.1962547504939
"15","R log & I log",0.14,8889968.56322764,57.2383209138495
"16","R log & I log",0.15,8889965.8836918,58.2798618945105
"17","R log & I log",0.16,8889963.18344539,59.3208777725332
"18","R log & I log",0.17,8889960.46348582,60.3613686919052
"19","R log & I log",0.18,8889957.72460251,61.4013348243004
"20","R log & I log",0.19,8889954.96741043,62.440776350018
"21","R log & I log",0.2,8889952.19238723,63.4796934504038
"22","R log & I log",0.21,8889949.39990553,64.5180863057421
"23","R log & I log",0.22,8889946.59025864,65.5559550951146
"24","R log & I log",0.23,8889943.76368037,66.5932999967134
"25","R log & I log",0.24,8889940.9203411,67.6301211703633
"26","R log & I log",0.25,8889938.06039889,68.6664187861678
"27","R log & I log",0.26,8889935.18400212,69.7021930341447
"28","R log & I log",0.27,8889932.29126978,70.7374440971178
"29","R log & I log",0.28,8889929.38230198,71.7721721558495
"30","R log & I log",0.29,8889926.45718499,72.8063773874106
"31","R log & I log",0.3,8889923.51599711,73.8400599677671
"32","R log & I log",0.31,8889920.55881139,74.8732200721424
"33","R log & I log",0.32,8889917.58569733,75.90585787559
"34","R log & I log",0.33,8889914.59672168,76.9379735530018
"35","R log & I log",0.34,8889911.59194914,77.9695672791487
"36","R log & I log",0.35,8889908.57144245,79.0006392286089
"37","R log & I log",0.36,8889905.53526295,80.0311895757632
"38","R log & I log",0.37,8889902.48347092,81.0612184947904
"39","R log & I log",0.38,8889899.41612584,82.0907261596654
"40","R log & I log",0.39,8889896.33328643,83.1197127441603
"41","R log & I log",0.4,8889893.2350109,84.1481784218452
"42","R log & I log",0.41,8889890.12135692,85.1761233660901
"43","R log & I log",0.42,8889886.99238182,86.2035477500652
"44","R log & I log",0.43,8889883.84814255,87.230451746742
"45","R log & I log",0.44,8889880.68869576,88.2568355288937
"46","R log & I log",0.45,8889877.51409787,89.2826992690959
"47","R log & I log",0.46,8889874.32440503,90.3080431397268
"48","R log & I log",0.47,8889871.11967317,91.332867312968
"49","R log & I log",0.48,8889867.89995803,92.3571719608045
"50","R log & I log",0.49,8889864.66531514,93.3809572550257
"51","R log & I log",0.5,8889861.41579987,94.4042233672375
"52","R log & I log",0.51,8889858.15146738,95.426970468847
"53","R log & I log",0.52,8889854.87237266,96.4491987310493
"54","R log & I log",0.53,8889851.57857052,97.4709083248439
"55","R log & I log",0.54,8889848.2701156,98.4920994210394
"56","R log & I log",0.55,8889844.94706238,99.5127721902552
"57","R log & I log",0.56,8889841.60946518,100.532926802919
"58","R log & I log",0.57,8889838.25737817,101.552563429265
"59","R log & I log",0.58,8889834.89085532,102.571682239333
"60","R log & I log",0.59,8889831.50995047,103.59028340297
"61","R log & I log",0.6,8889828.1147173,104.60836708983
"62","R log & I log",0.61,8889824.7052093,105.625933469376
"63","R log & I log",0.62,8889821.28147985,106.642982710877
"64","R log & I log",0.63,8889817.84358212,107.659514983413
"65","R log & I log",0.64,8889814.39156917,108.67553045587
"66","R log & I log",0.65,8889810.92549386,109.691029296946
"67","R log & I log",0.66,8889807.44540893,110.706011675145
"68","R log & I log",0.67,8889803.95136695,111.720477758783
"69","R log & I log",0.68,8889800.44342034,112.734427715985
"70","R log & I log",0.69,8889796.92162134,113.747861714684
"71","R log & I log",0.7,8889793.38602207,114.760779922627
"72","R log & I log",0.71,8889789.83667448,115.77318250737
"73","R log & I log",0.72,8889786.27363037,116.785069636279
"74","R log & I log",0.73,8889782.69694139,117.796441476533
