"","label","fitness_normalized","area"
"1","G log & I log",0.9780359472622,200837511367.87
"2","G log & Total I log",0.974363923597895,157702612176.722
"3","G log & Ig log",0.97710548193092,157065440622.611
"4","G log & R log",0.975107397485249,167906901668.221
"5","Total I log & I log",0.975018529985323,148837054866.912
"6","Total I log & Ig log",0.975640136561549,153709022938.14
"7","Ig log & I log",0.975681774519047,151594090949.178
"8","R log & I log",0.999714582497353,289509197023.275
"9","R log & Total I log",0.988857810245896,307050587941.144
"10","R log & Ig log",0.976894557267684,166276130537.397
