cue,log,var1,var2,var3,var4,fitness_20,id,low,high,by,short_label,long_label
I,none,0.6419622,-79.4480817,499.9943477,497.822897,6.888919,I_none,0,6.00E+06,1200,I,Asexual iRBC
I,log,6.344074,1.030948,-17.550317,2.334067,8.415651,I_log,0,6.77815125,0.00135563,I log,Asexual iRBC log
Ig,none,0.2387336,-34.1932047,849.9147228,13.1421179,7.007975,Ig_none,0,6.00E+06,1200,Ig,Sexual iRBC
Ig,log,1.8407676,-2.9663061,-3.5834166,-0.3988384,8.507564,Ig_log,0,6.77815125,0.00135563,Ig log,Sexual iRBC log
I+Ig,none,0.5538887,-54.4861835,1287.410356,32.6496156,7.502026,I+Ig_none,0,6.00E+06,1200,I+Ig,Total iRBC
I+Ig,log,76.89798,-112.32112,-63.75817,-81.83813,8.529067,I+Ig_log,0,6.77815125,0.00135563,I+Ig log,Total iRBC log
R,none,5.445481,29.445946,-27.20851,2.218041,6.769208,R_none,1.00E+06,1.00E+07,1800,R,RBC
R,log,-4.987745,16.185613,-0.266264,5.927189,6.707598,R_log,6,7,2.00E-04,R log,RBC log
G,none,0.216492,-7.547677,46.922734,-230.98726,6.829421,G_none,0,60000,12,G,Gametocyte
G,log,1.34234,-5.0863552,0.3624896,-2.460725,8.47005,G_log,0,4.77815125,0.00095563,G log,Gametocyte log
t,none,12.6471393,-27.6165973,0.1525298,-22.2636656,8.665761,time,0,20,0.001,Time,Time
