"","max_fitness"
"1",7.03687088030122
"2",7.96815002905044
"3",7.5878872540331
"4",6.50957665666539
"5",8.02454765650622
"6",7.00489501682821
"7",6.39031025802029
"8",7.87602631720756
"9",5.85770797819666
"10",6.24858995944281
"11",5.9496832104457
"12",8.3025608748078
"13",7.39262648714183
"14",4.75728499473187
"15",7.06675157792458
"16",7.74949416100597
"17",7.46099598638924
"18",6.8628200552751
"19",7.96313154792542
"20",3.94703404741915
"21",6.32327068022262
"22",4.49240571443824
"23",7.42399306935916
"24",7.69704662197979
"25",7.29461128590827
"26",6.10364313200495
"27",8.57513598959492
"28",6.4598784393644
"29",7.81865000003916
"30",7.30001960882776
"31",7.02946740632986
"32",4.69690481199402
"33",6.48958388699517
"34",1.95870719145326
"35",6.48694249931488
"36",7.14167668279555
"37",7.30243147343878
"38",8.63342157701046
"39",5.48440678169868
"40",4.82037904548649
"41",6.22802319417539
"42",8.09688722904128
"43",7.08827099326042
"44",6.65494096606565
"45",8.35545919629163
"46",8.07687113854212
"47",6.76346665393344
"48",8.85063554821323
"49",7.58820972329077
"50",6.14358011465043
"51",8.16175890952925
"52",6.81953906968096
"53",7.75361890739816
"54",8.22111447467049
"55",8.31933121029644
"56",7.08114628840595
"57",8.06356959294643
"58",7.37907396991419
"59",7.37651410651847
"60",7.89026320372265
"61",5.8661285193074
"62",6.08166535726892
"63",7.67429373249966
"64",5.46965648585188
"65",5.21957027258388
"66",8.06717890950001
"67",8.14098264561131
"68",6.97663734714651
"69",7.19235475019864
"70",8.89252740229553
"71",6.82993833331592
"72",6.22626738162222
"73",6.37124075593932
"74",6.75771640713758
"75",7.79072797593035
"76",8.33295128774543
"77",7.11156177869986
"78",7.9627444837183
"79",6.46548408314914
"80",6.82909536263526
"81",6.09126512092875
"82",7.70376952027592
"83",7.26618320930369
"84",6.35958327858174
"85",7.10713727304073
"86",3.4234826763262
"87",7.32483766998867
"88",4.71272161356258
"89",7.63742574788621
"90",4.97218497675938
"91",3.95162128928997
"92",8.5790236388488
"93",8.58839518053186
"94",7.47809311758283
"95",6.42729003565329
"96",7.71988071065621
"97",6.22159406557655
"98",8.24071484931208
"99",5.14112124841848
"100",8.29238838675867
"101",7.86090797542341
"102",5.75207725524642
"103",7.17032888634617
"104",7.20459625546539
"105",8.70358592152818
"106",6.90151033792925
"107",8.19699164647706
"108",7.75317579641461
"109",6.8352671712532
"110",7.38865019904919
"111",7.27043202499825
"112",6.74622168069442
"113",4.24876510095219
"114",7.53117226558627
"115",7.6494899903601
"116",8.02735138326898
"117",7.31545151339626
"118",8.50884041787603
"119",6.94404496510021
"120",7.67156967474714
"121",6.2431253953206
"122",6.67262187771732
"123",7.62912450718299
"124",7.3664092201403
"125",4.57799919406013
"126",8.04968725328125
"127",6.5246767016236
"128",8.4485843423544
"129",6.81608695603895
"130",7.83963687836204
"131",7.33799688090247
"132",7.75337997406367
"133",7.51766777352756
"134",5.60723488497261
"135",8.60188739995881
"136",5.47966128565293
"137",7.24980379449476
"138",7.83844762341642
"139",6.15298373156531
"140",8.36603489711233
"141",8.46682384501513
"142",7.68350511335469
"143",7.31930123884358
"144",7.14182223149323
"145",8.15363388173518
"146",5.57472592603076
"147",8.13130989619809
"148",8.1241757448907
"149",5.55152108017873
"150",6.54931597690452
"151",3.69343185922242
"152",6.29396507226655
"153",5.87145774138724
"154",7.01615319629868
"155",6.97198152028747
"156",5.91172740920516
"157",6.69889043848997
"158",6.3110358077702
"159",6.8357767974875
"160",8.56031831893323
"161",5.51386365927724
"162",7.24573707432627
"163",0.274131690863206
"164",5.79729889189808
"165",5.78020016843683
"166",1.90369675684609
"167",6.83835400784731
"168",8.69166474010975
"169",7.16648279955594
"170",8.36258861444091
"171",7.49791715655086
"172",6.44577495329375
"173",6.37682637753995
"174",4.82941213041481
"175",7.27729189049691
"176",5.14111413955141
"177",8.4532630011502
"178",5.78862423664375
"179",6.9811099664507
"180",7.468582360776
"181",7.47136261761279
"182",8.45327445926554
"183",5.73873151657158
"184",8.10422164445185
"185",5.94140478783703
"186",7.154648503896
"187",4.97650930377221
"188",8.37786999139963
"189",6.64788056594239
"190",6.99363799439327
"191",5.23066073824125
"192",8.15372285491505
"193",6.25895002788464
"194",8.19121888086585
"195",5.35075196680898
"196",7.54421186250939
"197",8.50647733188917
"198",6.78994921387708
"199",6.61251082443113
"200",7.45337083802711
"201",6.28490097279556
"202",7.23304427986561
"203",5.57759214906161
"204",5.11419627463369
"205",7.44076948826994
"206",8.00830755215384
"207",6.96824490929631
"208",7.57324212475226
"209",8.33495914312645
"210",7.07745288806307
"211",7.90574330515462
"212",8.10139623229972
"213",8.46986110169527
"214",7.79637402284746
"215",4.44054904613296
"216",7.7956059013702
"217",7.92687124559638
"218",6.84826170331125
"219",8.68506556424258
"220",5.30229477943062
"221",6.01181433283461
"222",8.49435151792346
"223",6.55177781148371
"224",7.57214439481124
"225",5.72035189146651
"226",8.44108596138182
"227",5.56302238610503
"228",7.59227001639985
"229",6.99617603418552
"230",8.22442893266943
"231",5.99566838449639
"232",6.14564582188201
"233",7.52660626698718
"234",8.3641900765269
"235",8.64239693531307
"236",8.76967534426566
"237",6.85249498773013
"238",8.22166852747944
"239",7.40089752875478
"240",5.91602606853462
"241",7.74484523556728
"242",5.88890654080823
"243",7.35053400231931
"244",6.07867593475431
"245",6.09611889665215
"246",5.43670366619465
"247",8.59392642730367
"248",4.76987654560474
"249",6.659184509444
"250",6.36524315875665
"251",5.41215032043125
"252",7.79984828718359
"253",8.67241556972737
"254",6.29214522459689
"255",7.84878287179379
"256",8.0034637115178
"257",8.34882823827443
"258",7.12645540190108
"259",6.00470815834164
"260",7.95259173780107
"261",8.36659557521081
"262",7.21639498912247
"263",6.00091371534928
"264",8.19018240018304
"265",5.38230763285258
"266",7.64364782194651
"267",5.11923513680946
"268",7.96402632552464
"269",7.17983849410479
"270",3.97430212499947
"271",5.22028536224688
"272",6.8078525544835
"273",5.87764956481877
"274",6.33707488365719
"275",6.03114487334914
"276",7.62080871969224
"277",7.15233673075829
