"","max_fitness"
"1",9.55901736444092
"2",9.59063240107763
"3",9.51834942747764
"4",9.59859507923694
"5",9.58287882572405
"6",9.61534677639189
"7",9.5853008558624
"8",9.54008475837404
"9",9.50465131288908
"10",9.5785826403556
"11",9.55348554517238
"12",9.58316691818176
"13",9.56819251977243
"14",9.60370099742813
"15",9.51584461149747
"16",9.55482502991419
"17",9.58735206824911
"18",9.59132950050185
"19",9.57736418859035
"20",9.55523832183505
"21",9.58926448856515
"22",9.59124320111951
"23",9.56908686206042
"24",9.5826180590264
"25",9.58149829845167
"26",9.54668762259314
"27",9.55168616519567
"28",9.59098680608278
"29",9.54271401617729
"30",9.50794057750242
"31",9.59796183010497
"32",9.60691664538127
"33",9.55545403246273
"34",9.63324519153785
"35",9.56187100694838
"36",9.57926063935791
"37",9.61242074409704
"38",9.56041551611088
"39",9.56649340991646
"40",9.52121542908083
"41",9.49412392769553
"42",9.57813161176978
"43",9.58183487168
"44",9.59281445862182
"45",9.58469908053208
"46",9.56842142319864
"47",9.57708613584904
"48",9.54421579944222
"49",9.54773487455516
"50",9.59186478266654
"51",9.55042987506083
"52",9.58440567905847
"53",9.61523425035926
"54",9.5842019822998
"55",9.57107503453554
"56",9.56106166252415
"57",9.57860210151204
"58",9.57588441257712
"59",9.58357978176159
"60",9.57940234314549
"61",9.55758162264168
"62",9.59026423421671
"63",9.60208349013324
"64",9.61484495502729
"65",9.51501824007414
"66",9.56737755508272
"67",9.49351647398468
"68",9.56772854102965
"69",9.56306529867808
"70",9.60299724203182
"71",9.59536064624587
"72",9.5812136917401
"73",9.57860184941625
"74",9.55387753228255
"75",9.53673336293067
"76",9.57425567208079
"77",9.56281218892327
"78",9.57741822198524
"79",9.54736423308117
"80",9.54805076405276
"81",9.5600452231973
"82",9.5325970115686
"83",9.57482290205018
"84",9.62569694652797
"85",9.60570703024728
"86",9.61151792431605
"87",9.58248057008975
"88",9.52304847483615
"89",9.55147268727104
"90",9.59149493569256
"91",9.58648291868169
"92",9.59089189377722
"93",9.59211247079624
"94",9.57114175065091
"95",9.62828065396319
"96",9.60562768293125
"97",9.5883235055066
"98",9.53902676595687
"99",9.59948136363767
"100",9.47304945268137
"101",9.59962783303791
"102",9.57674377937058
"103",9.6389438178382
"104",9.50475720410523
"105",9.54481731836907
"106",9.62907509624842
"107",9.57292269805185
"108",9.55922854775161
"109",9.57560843739724
"110",9.57303879820899
"111",9.60818089836808
"112",9.50999449551888
"113",9.60213950883658
"114",9.5739994230667
"115",9.6211475286391
"116",9.58866050286958
"117",9.53864837693043
"118",9.58535277825937
"119",9.59683546202864
"120",9.55148120483618
"121",9.57212865216628
"122",9.55282345406641
"123",9.53112836074806
"124",9.49520483191751
"125",9.59561740069717
"126",9.59346169761989
"127",9.63075993525745
"128",9.61419971465322
"129",9.53105303978951
"130",9.60328228249541
"131",9.6154676554414
"132",9.56722878980262
"133",9.58036541454695
"134",9.56063692526488
"135",9.52541259353257
"136",9.57260124801391
"137",9.58616988793678
"138",9.59735294135947
"139",9.55485380141446
"140",9.51299846759261
"141",9.55593911447343
"142",9.56200311616075
"143",9.53867760765086
"144",9.59388406632867
"145",9.577799474604
"146",9.5674658721662
"147",9.59415276255713
"148",9.52441025631232
"149",9.53406454972821
"150",9.58334961581827
"151",9.53027278872079
"152",9.53356050143132
"153",9.60370584617418
"154",9.5796627817344
"155",9.55770383554265
"156",9.61713971631393
"157",9.60131397469048
"158",9.5401300726755
"159",9.59923781425747
"160",9.58802319707278
"161",9.52410636647854
"162",9.55140506968537
"163",9.50940813641879
"164",9.60080592427707
"165",9.57651330876639
"166",9.61062250573245
"167",9.49134534239321
"168",9.61584845094677
"169",9.59384328541569
"170",9.54572670925298
"171",9.56200839908575
"172",9.54234357059324
"173",9.57261827912684
"174",9.53914816915517
"175",9.54677160942606
"176",9.60762797285652
"177",9.5595050222388
"178",9.59583915906558
"179",9.59604627892953
"180",9.56429138401543
"181",9.53488278771335
"182",9.63016366403514
"183",9.56598561784883
"184",9.56897874003206
"185",9.57205986742854
"186",9.57899101724978
"187",9.55754866891247
"188",9.59514274611966
"189",9.5652760815837
"190",9.58789608979639
"191",9.58396192150087
"192",9.5759243109368
"193",9.56862410308371
"194",9.59331376025301
"195",9.57581355024703
"196",9.58530515450611
"197",9.6091847277955
"198",9.62221618562747
"199",9.60871314925114
"200",9.53408774930253
"201",9.58327708213867
"202",9.63120053179434
"203",9.59264563288104
"204",9.57725774591391
"205",9.6117132520622
"206",9.59140047842959
"207",9.54368278136753
"208",9.5761269593464
"209",9.57840523175516
"210",9.53003726922058
"211",9.60463309815718
"212",9.54757073746182
"213",9.55236653308466
"214",9.58620443783332
"215",9.60118402197728
"216",9.56465615506167
"217",9.5317191677285
"218",9.55351151248094
"219",9.61917635356993
"220",9.59595134329926
"221",9.55370214122808
"222",9.5566677078608
"223",9.59742375227694
"224",9.56404570171426
"225",9.50647268606696
"226",9.56741917032273
"227",9.61194801157345
"228",9.53422944837029
"229",9.55697942551727
"230",9.62676582420929
"231",9.55163979744868
"232",9.50994806243303
"233",9.59537890219275
"234",9.57082700401351
"235",9.59126072806452
"236",9.58609523043097
"237",9.52259356940905
"238",9.60469962211099
"239",9.55303704399069
"240",9.57234776346329
"241",9.58785747529055
"242",9.45976508110994
"243",9.56198025609295
"244",9.54258959365627
"245",9.56893400962218
"246",9.53737739316366
"247",9.55987367158865
"248",9.59623578660904
"249",9.60682660164217
"250",9.6221655313722
"251",9.52612408335509
"252",9.54446013092879
"253",9.60102053580647
"254",9.58913561175691
"255",9.55744899260377
"256",9.58314765739126
"257",9.59370697982805
"258",9.5518849608732
"259",9.58209643211688
"260",9.60552840491805
"261",9.60587337914729
"262",9.61041540799444
"263",9.50943151093892
"264",9.58196690317407
"265",9.6065320864392
"266",9.59099221560036
"267",9.5664236342004
"268",9.60742914863032
"269",9.587814370912
"270",9.56863899403155
"271",9.59580986100865
"272",9.58008115955905
"273",9.54564856028098
"274",9.54185281701299
"275",9.60773543577871
"276",9.56301791733384
"277",9.47491717992197
"278",9.62083014066858
"279",9.56825071970846
"280",9.60341149374947
"281",9.59055048756668
"282",9.58402047846054
"283",9.58712617629259
"284",9.52793256677079
"285",9.56309153498795
"286",9.6044845541374
"287",9.54869279332352
"288",9.59434659968036
"289",9.52419378512975
"290",9.59832543094089
"291",9.58283286666644
"292",9.61975322858843
"293",9.53621110284119
"294",9.59795803813845
"295",9.57985862575954
"296",9.59016753234317
"297",9.53539066024609
"298",9.60651294261132
"299",9.58180061416859
"300",9.58319494020291
"301",9.53771552695501
"302",9.56360697705176
"303",9.56308562769639
"304",9.52687819595489
"305",9.55005117608791
"306",9.59388346178361
"307",9.54712613594477
"308",9.6089845026703
"309",9.57113516678617
"310",9.59140013550753
"311",9.57462732575054
"312",9.56418818398225
"313",9.59641813913669
"314",9.55990075983415
"315",9.59456420133407
"316",9.59745387995308
"317",9.58829834775158
"318",9.58289883131052
"319",9.59565082677385
