"","cue_range","cr","label","min","max"
"1",0,0.00101100529909474,"Asexual iRBC ",0,221928.161538538
"2",1200,0.00130836678039851,"Asexual iRBC ",0,221928.161538538
"3",2400,0.00167329166264343,"Asexual iRBC ",0,221928.161538538
"4",3600,0.00211612945947104,"Asexual iRBC ",0,221928.161538538
"5",4800,0.00264782340517122,"Asexual iRBC ",0,221928.161538538
"6",6000,0.00327978961135829,"Asexual iRBC ",0,221928.161538538
"7",7200,0.00402377962231205,"Asexual iRBC ",0,221928.161538538
"8",8400,0.00489173015232024,"Asexual iRBC ",0,221928.161538538
"9",9600,0.00589560416420196,"Asexual iRBC ",0,221928.161538538
"10",10800,0.00704722762253486,"Asexual iRBC ",0,221928.161538538
"11",12000,0.00835812623669392,"Asexual iRBC ",0,221928.161538538
"12",13200,0.00983936631660077,"Asexual iRBC ",0,221928.161538538
"13",14400,0.0115014035245399,"Asexual iRBC ",0,221928.161538538
"14",15600,0.0133539428506589,"Asexual iRBC ",0,221928.161538538
"15",16800,0.0154058126009974,"Asexual iRBC ",0,221928.161538538
"16",18000,0.0176648545979507,"Asexual iRBC ",0,221928.161538538
"17",19200,0.020137832184685,"Asexual iRBC ",0,221928.161538538
"18",20400,0.0228303570243552,"Asexual iRBC ",0,221928.161538538
"19",21600,0.0257468351147843,"Asexual iRBC ",0,221928.161538538
"20",22800,0.0288904319174334,"Asexual iRBC ",0,221928.161538538
"21",24000,0.032263056038974,"Asexual iRBC ",0,221928.161538538
"22",25200,0.035865360512824,"Asexual iRBC ",0,221928.161538538
"23",26400,0.0396967604106395,"Asexual iRBC ",0,221928.161538538
"24",27600,0.0437554652703182,"Asexual iRBC ",0,221928.161538538
"25",28800,0.0480385246549469,"Asexual iRBC ",0,221928.161538538
"26",30000,0.0525418850513799,"Asexual iRBC ",0,221928.161538538
"27",31200,0.0572604562711869,"Asexual iRBC ",0,221928.161538538
"28",32400,0.0621881855229304,"Asexual iRBC ",0,221928.161538538
"29",33600,0.0673181373749673,"Asexual iRBC ",0,221928.161538538
"30",34800,0.0726425779139544,"Asexual iRBC ",0,221928.161538538
"31",36000,0.0781530615179793,"Asexual iRBC ",0,221928.161538538
"32",37200,0.0838405187972319,"Asexual iRBC ",0,221928.161538538
"33",38400,0.0896953444025785,"Asexual iRBC ",0,221928.161538538
"34",39600,0.0957074835572843,"Asexual iRBC ",0,221928.161538538
"35",40800,0.101866516324323,"Asexual iRBC ",0,221928.161538538
"36",42000,0.108161738776902,"Asexual iRBC ",0,221928.161538538
"37",43200,0.114582240389599,"Asexual iRBC ",0,221928.161538538
"38",44400,0.121116977109163,"Asexual iRBC ",0,221928.161538538
"39",45600,0.127754839695626,"Asexual iRBC ",0,221928.161538538
"40",46800,0.134484717044623,"Asexual iRBC ",0,221928.161538538
"41",48000,0.141295554309844,"Asexual iRBC ",0,221928.161538538
"42",49200,0.148176405740137,"Asexual iRBC ",0,221928.161538538
"43",50400,0.155116482228913,"Asexual iRBC ",0,221928.161538538
"44",51600,0.162105193644543,"Asexual iRBC ",0,221928.161538538
"45",52800,0.169132186069962,"Asexual iRBC ",0,221928.161538538
"46",54000,0.176187374128448,"Asexual iRBC ",0,221928.161538538
"47",55200,0.18326096861134,"Asexual iRBC ",0,221928.161538538
"48",56400,0.190343499653279,"Asexual iRBC ",0,221928.161538538
"49",57600,0.197425835722269,"Asexual iRBC ",0,221928.161538538
"50",58800,0.204499198706471,"Asexual iRBC ",0,221928.161538538
"51",60000,0.211555175388075,"Asexual iRBC ",0,221928.161538538
"52",61200,0.218585725597631,"Asexual iRBC ",0,221928.161538538
"53",62400,0.225583187340907,"Asexual iRBC ",0,221928.161538538
"54",63600,0.232540279185123,"Asexual iRBC ",0,221928.161538538
"55",64800,0.239450100183334,"Asexual iRBC ",0,221928.161538538
"56",66000,0.246306127605128,"Asexual iRBC ",0,221928.161538538
"57",67200,0.253102212729431,"Asexual iRBC ",0,221928.161538538
"58",68400,0.259832574941443,"Asexual iRBC ",0,221928.161538538
"59",69600,0.266491794361065,"Asexual iRBC ",0,221928.161538538
"60",70800,0.273074803214922,"Asexual iRBC ",0,221928.161538538
"61",72000,0.279576876148604,"Asexual iRBC ",0,221928.161538538
"62",73200,0.285993619660245,"Asexual iRBC ",0,221928.161538538
"63",74400,0.292320960821324,"Asexual iRBC ",0,221928.161538538
"64",75600,0.298555135435644,"Asexual iRBC ",0,221928.161538538
"65",76800,0.30469267577313,"Asexual iRBC ",0,221928.161538538
"66",78000,0.310730398001323,"Asexual iRBC ",0,221928.161538538
"67",79200,0.316665389424441,"Asexual iRBC ",0,221928.161538538
"68",80400,0.322494995627561,"Asexual iRBC ",0,221928.161538538
"69",81600,0.328216807612007,"Asexual iRBC ",0,221928.161538538
"70",82800,0.333828648997302,"Asexual iRBC ",0,221928.161538538
"71",84000,0.339328563355138,"Asexual iRBC ",0,221928.161538538
"72",85200,0.344714801731708,"Asexual iRBC ",0,221928.161538538
"73",86400,0.349985810406356,"Asexual iRBC ",0,221928.161538538
"74",87600,0.355140218926931,"Asexual iRBC ",0,221928.161538538
"75",88800,0.360176828455278,"Asexual iRBC ",0,221928.161538538
"76",90000,0.365094600450102,"Asexual iRBC ",0,221928.161538538
"77",91200,0.369892645708823,"Asexual iRBC ",0,221928.161538538
"78",92400,0.374570213785043,"Asexual iRBC ",0,221928.161538538
"79",93600,0.379126682793814,"Asexual iRBC ",0,221928.161538538
"80",94800,0.383561549612946,"Asexual iRBC ",0,221928.161538538
"81",96000,0.387874420485167,"Asexual iRBC ",0,221928.161538538
"82",97200,0.392065002022922,"Asexual iRBC ",0,221928.161538538
"83",98400,0.39613309261498,"Asexual iRBC ",0,221928.161538538
"84",99600,0.400078574231806,"Asexual iRBC ",0,221928.161538538
"85",100800,0.403901404624703,"Asexual iRBC ",0,221928.161538538
"86",102000,0.407601609912163,"Asexual iRBC ",0,221928.161538538
"87",103200,0.411179277545487,"Asexual iRBC ",0,221928.161538538
"88",104400,0.414634549644676,"Asexual iRBC ",0,221928.161538538
"89",105600,0.417967616694706,"Asexual iRBC ",0,221928.161538538
"90",106800,0.421178711591612,"Asexual iRBC ",0,221928.161538538
"91",108000,0.424268104027312,"Asexual iRBC ",0,221928.161538538
"92",109200,0.427236095201751,"Asexual iRBC ",0,221928.161538538
"93",110400,0.430083012850702,"Asexual iRBC ",0,221928.161538538
"94",111600,0.43280920657749,"Asexual iRBC ",0,221928.161538538
"95",112800,0.435415043476883,"Asexual iRBC ",0,221928.161538538
"96",114000,0.437900904039497,"Asexual iRBC ",0,221928.161538538
"97",115200,0.440267178325224,"Asexual iRBC ",0,221928.161538538
"98",116400,0.442514262394437,"Asexual iRBC ",0,221928.161538538
"99",117600,0.444642554985996,"Asexual iRBC ",0,221928.161538538
"100",118800,0.446652454431441,"Asexual iRBC ",0,221928.161538538
"101",120000,0.448544355795128,"Asexual iRBC ",0,221928.161538538
"102",121200,0.450318648230463,"Asexual iRBC ",0,221928.161538538
"103",122400,0.451975712542862,"Asexual iRBC ",0,221928.161538538
"104",123600,0.453515918950488,"Asexual iRBC ",0,221928.161538538
"105",124800,0.454939625034324,"Asexual iRBC ",0,221928.161538538
"106",126000,0.456247173869625,"Asexual iRBC ",0,221928.161538538
"107",127200,0.457438892331302,"Asexual iRBC ",0,221928.161538538
"108",128400,0.45851508956629,"Asexual iRBC ",0,221928.161538538
"109",129600,0.459476055626489,"Asexual iRBC ",0,221928.161538538
"110",130800,0.460322060256368,"Asexual iRBC ",0,221928.161538538
"111",132000,0.46105335182987,"Asexual iRBC ",0,221928.161538538
"112",133200,0.461670156431747,"Asexual iRBC ",0,221928.161538538
"113",134400,0.462172677079003,"Asexual iRBC ",0,221928.161538538
"114",135600,0.462561093078639,"Asexual iRBC ",0,221928.161538538
"115",136800,0.462835559518396,"Asexual iRBC ",0,221928.161538538
"116",138000,0.462996206887729,"Asexual iRBC ",0,221928.161538538
"117",139200,0.463043140826745,"Asexual iRBC ",0,221928.161538538
"118",140400,0.462976442001358,"Asexual iRBC ",0,221928.161538538
"119",141600,0.462796166103398,"Asexual iRBC ",0,221928.161538538
"120",142800,0.462502343974946,"Asexual iRBC ",0,221928.161538538
"121",144000,0.462094981856636,"Asexual iRBC ",0,221928.161538538
"122",145200,0.461574061760179,"Asexual iRBC ",0,221928.161538538
"123",146400,0.460939541965848,"Asexual iRBC ",0,221928.161538538
"124",147600,0.460191357646136,"Asexual iRBC ",0,221928.161538538
"125",148800,0.459329421617327,"Asexual iRBC ",0,221928.161538538
"126",150000,0.458353625221139,"Asexual iRBC ",0,221928.161538538
"127",151200,0.457263839339113,"Asexual iRBC ",0,221928.161538538
"128",152400,0.456059915542882,"Asexual iRBC ",0,221928.161538538
"129",153600,0.454741687383912,"Asexual iRBC ",0,221928.161538538
"130",154800,0.453308971826763,"Asexual iRBC ",0,221928.161538538
"131",156000,0.451761570830377,"Asexual iRBC ",0,221928.161538538
"132",157200,0.450099273082327,"Asexual iRBC ",0,221928.161538538
"133",158400,0.448321855891395,"Asexual iRBC ",0,221928.161538538
"134",159600,0.446429087244276,"Asexual iRBC ",0,221928.161538538
"135",160800,0.444420728032593,"Asexual iRBC ",0,221928.161538538
"136",162000,0.442296534456788,"Asexual iRBC ",0,221928.161538538
"137",163200,0.440056260613862,"Asexual iRBC ",0,221928.161538538
"138",164400,0.437699661276212,"Asexual iRBC ",0,221928.161538538
"139",165600,0.435226494869209,"Asexual iRBC ",0,221928.161538538
"140",166800,0.432636526655369,"Asexual iRBC ",0,221928.161538538
"141",168000,0.429929532133282,"Asexual iRBC ",0,221928.161538538
"142",169200,0.427105300659624,"Asexual iRBC ",0,221928.161538538
"143",170400,0.424163639302775,"Asexual iRBC ",0,221928.161538538
"144",171600,0.421104376936623,"Asexual iRBC ",0,221928.161538538
"145",172800,0.417927368583228,"Asexual iRBC ",0,221928.161538538
"146",174000,0.414632500012941,"Asexual iRBC ",0,221928.161538538
"147",175200,0.411219692610486,"Asexual iRBC ",0,221928.161538538
