"","mut_id","res_id","fitness_final","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt","res_var1","res_var2","res_var3","res_var4","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"1","G-i_log","G-i_none",0.634420703345817,1.74419020342306,-4.91914338069128,3.4381022663216,-6.97295578535311,1.352967,-165.891572,61.230266,-7.374788,"G","log","G","none","G log","G"
"2","G-i_log","G1+G2_log",1.41900516935603,1.95925526603974,-12.0180060950938,62.4396946794888,-387.800759883358,12.106219,-21.043524,-5.010265,-16.928459,"G","log","G1+G2","log","G log","G1+G2 log"
"3","G-i_log","G1+G2_none",0.760805240215335,1.7594266133774,-4.64065382437626,3.60485369319273,-8.22736799492576,1,-21.911779,338.36246,-4999.99966,"G","log","G1+G2","none","G log","G1+G2"
"4","G-i_log","I-i_log",0.168270736128215,1.77095157614348,-4.48046458556116,2.87803763167051,-7.38049227384852,381.7701,-528.2317,-324.5508,-403.8235,"G","log","I","log","G log","I log"
"5","G-i_log","I-i_none",0.276608466658835,1.76732931950319,-4.54699643122437,3.06707766065642,-7.60816105567413,1.931059,-63.78682,1295.819775,-31.58044,"G","log","I","none","G log","I"
"6","G-i_log","I1+I2_log",0.200583131634013,1.77252091389566,-4.62161720354256,2.87881014710912,-7.5278110256915,404.617,-529.2684,-365.0516,-417.0552,"G","log","I1+I2","log","G log","I1+I2 log"
"7","G-i_log","I1+I2_none",0.923219335161164,1.75340347540088,-4.20327710852146,2.34243556000536,-6.397986776902,0.9999999,-9.1650326,-71.7214007,4998.79439,"G","log","I1+I2","none","G log","I1+I2"
"8","G-i_log","Ig-i_log",0.0252985621854691,1.77050356675714,-4.68652269693823,3.37911012220935,-8.0776664724674,2.189146,-5.450051,4.543525,-9.356682,"G","log","Ig","log","G log","Ig log"
"9","G-i_log","Ig-i_none",0.675871781620783,1.75160720571468,-4.55496676625105,3.0466436822846,-7.45234409308788,1.096857,-80.496897,1412.461014,3.463079,"G","log","Ig","none","G log","Ig"
"10","G-i_log","Ig1+Ig2_none",0.8519439572188,1.74367179583589,-4.75924437093638,2.69587989550164,-5.92285059082774,1,-32.831645,378.108931,-4999.999969,"G","log","Ig1+Ig2","none","G log","Ig1+Ig2"
"11","G-i_log","R_log",0.128598082663732,1.76710678496272,-4.7403774066001,3.65978329729459,-8.65966648689422,-971.1975,1175.9801,931.5406,978.087,"G","log","R","log","G log","R log"
"12","G-i_log","R_none",0.0993630949900912,1.7688667138442,-4.699215745475,3.47487358187763,-8.28744045120447,-88.36793,136.04925,65.44548,98.14261,"G","log","R","none","G log","R"
"13","G-i_log","sum_log",0.106887644183872,1.77039738380611,-4.73737708542625,3.19505171621564,-7.63812482150538,435.1835,-565.3985,-395.7242,-446.595,"G","log","sum","log","G log","sum log"
"14","G-i_log","sum_none",0.223478040568161,1.76402516272424,-4.71185109575061,3.27287891631867,-7.84317315345251,1.86014,-25.61573,257.60126,-2823.09564,"G","log","sum","none","G log","sum"
"15","G-i_none","G-i_log",-0.505802770188097,1.33289549764168,-89.1998633283004,78.3774591821718,-7.22210269895283,1.762225,-4.329505,2.548675,-6.726894,"G","none","G","log","G","G log"
"16","G-i_none","G1+G2_log",0.843297267059164,1.757860880317,-1091.12048831425,58.912254611777,-9.41592546054292,12.106219,-21.043524,-5.010265,-16.928459,"G","none","G1+G2","log","G","G1+G2 log"
"17","G-i_none","G1+G2_none",0.160037165462028,1.42749526116721,-110.396764061666,-1.8243984218064,0.481016043651591,1,-21.911779,338.36246,-4999.99966,"G","none","G1+G2","none","G","G1+G2"
"18","G-i_none","I-i_log",-0.380119328593556,1.30133191930895,-78.1262832782552,-1.45537881063994,0.481281486986344,381.7701,-528.2317,-324.5508,-403.8235,"G","none","I","log","G","I log"
"19","G-i_none","I-i_none",-0.225482545455329,1.27749207545507,-68.5633718185174,60.4918960997931,6.8243089197342,1.931059,-63.78682,1295.819775,-31.58044,"G","none","I","none","G","I"
"20","G-i_none","I1+I2_log",-0.366937922800671,1.26859823905625,-78.275370406879,-1.52968760423082,0.481652324854512,404.617,-529.2684,-365.0516,-417.0552,"G","none","I1+I2","log","G","I1+I2 log"
"21","G-i_none","I1+I2_none",0.449699727137414,1.2250066020401,-36.9891636612205,64.791056218251,-6.69610575470491,0.9999999,-9.1650326,-71.7214007,4998.79439,"G","none","I1+I2","none","G","I1+I2"
"22","G-i_none","Ig-i_log",-0.522512075227161,1.30788136329646,-87.2315008821204,65.7339503170108,-7.04991065546627,2.189146,-5.450051,4.543525,-9.356682,"G","none","Ig","log","G","Ig log"
"23","G-i_none","Ig-i_none",0.116073342043244,1.25902944618502,-76.118314245537,73.6283725009836,-20.2215598727134,1.096857,-80.496897,1412.461014,3.463079,"G","none","Ig","none","G","Ig"
"24","G-i_none","Ig1+Ig2_none",0.198201901872868,1.44258471868901,-165.891413860657,61.2302685583344,-7.37479748831041,1,-32.831645,378.108931,-4999.999969,"G","none","Ig1+Ig2","none","G","Ig1+Ig2"
"25","G-i_none","R_log",-0.378499843887044,1.30837087176898,-87.3102885326163,-1.57353686560942,0.478856524078206,-971.1975,1175.9801,931.5406,978.087,"G","none","R","log","G","R log"
"26","G-i_none","R_none",-0.412070964017131,1.30739792214481,-82.3870542556204,73.6526448793218,-6.40367211482469,-88.36793,136.04925,65.44548,98.14261,"G","none","R","none","G","R"
"27","G-i_none","sum_log",-0.473012903691317,1.28224305546877,-80.8233748016258,-1.52435258222031,0.476727761324958,435.1835,-565.3985,-395.7242,-446.595,"G","none","sum","log","G","sum log"
"28","G-i_none","sum_none",-0.318534040681568,1.28745403367863,-80.4452670720919,-1.50194711357683,0.479730399955365,1.86014,-25.61573,257.60126,-2823.09564,"G","none","sum","none","G","sum"
"29","G1+G2_log","G-i_log",0.0307734815621163,2.04326133384527,-5.01811284261921,2.54620184819357,-6.56900983218675,1.762225,-4.329505,2.548675,-6.726894,"G1+G2","log","G","log","G1+G2 log","G log"
"30","G1+G2_log","G-i_none",0.7034977960581,6.01668232485091,-12.5364051483928,0.491797983125869,-10.3881912785744,1.352967,-165.891572,61.230266,-7.374788,"G1+G2","log","G","none","G1+G2 log","G"
"31","G1+G2_log","G1+G2_none",0.813671508299232,13.5126152413775,-24.5751450395615,-3.90691381663806,-20.7360664544236,1,-21.911779,338.36246,-4999.99966,"G1+G2","log","G1+G2","none","G1+G2 log","G1+G2"
"32","G1+G2_log","I-i_log",0.157927340997869,1.76605416516092,-4.3108065781329,2.09651536133113,-5.23757818215173,381.7701,-528.2317,-324.5508,-403.8235,"G1+G2","log","I","log","G1+G2 log","I log"
"33","G1+G2_log","I-i_none",0.282791117307276,1.81259522484501,-4.18937358964705,1.72446192029056,-5.45990362429461,1.931059,-63.78682,1295.819775,-31.58044,"G1+G2","log","I","none","G1+G2 log","I"
"34","G1+G2_log","I1+I2_log",0.18912549400586,1.76735740988396,-4.42928030208006,2.04081774661833,-5.30161017642662,404.617,-529.2684,-365.0516,-417.0552,"G1+G2","log","I1+I2","log","G1+G2 log","I1+I2 log"
