"","label","fitness_non_ci"
"1","Asexual iRBC ",8.7179946488946
"2","Asexual iRBC log10",9.87140741504508
"3","Gametocyte ",8.76578868191645
"4","Gametocyte log10",10.0432765805543
"5","RBC ",10.4031981810699
"6","RBC log10",9.97676084915465
"7","Sexual iRBC ",9.28748404216113
"8","Sexual iRBC log10",9.54569611834877
"9","Total
gametocyte ",9.62902511109695
"10","Total
gametocyte log10",10.848591335549
"11","Total asexual
iRBC ",9.39109640178557
"12","Total asexual
iRBC log10",11.17952389327
"13","Total iRBC ",9.9033208322614
"14","Total iRBC log10",11.2263629354132
"15","Total sexual
iRBC ",9.68627937556251
