"id_1","id_2","fitness_diff","cue_1","cue_2","log_1","log_2","id_1_alt","id_2_alt"
"G-i_log","G-i_log","-1.77635683940025e-15","G","G","log10","log10","G log10","G log10"
"G-i_none","G-i_log","-0.598300370806035","G","G","","log10","G ","G log10"
"G1+G2_log","G-i_log","-0.946928231305495","G1+G2","G","log10","log10","G1+G2 log10","G log10"
"G1+G2_none","G-i_log","-0.752106674515841","G1+G2","G","","log10","G1+G2 ","G log10"
"I-i_log","G-i_log","-0.164998433650303","I","G","log10","log10","I log10","G log10"
"I-i_none","G-i_log","-0.2698436266404","I","G","","log10","I ","G log10"
"I1+I2_log","G-i_log","-0.187607179666045","I1+I2","G","log10","log10","I1+I2 log10","G log10"
"Ig-i_log","G-i_log","-0.691264071566283","Ig","G","log10","log10","Ig log10","G log10"
"Ig-i_none","G-i_log","-0.664210034351192","Ig","G","","log10","Ig ","G log10"
"R_log","G-i_log","-0.113617722134979","R","G","log10","log10","R log10","G log10"
"R_none","G-i_log","-0.0887332062060899","R","G","","log10","R ","G log10"
"sum_log","G-i_log","-0.0958690308654737","sum","G","log10","log10","sum log10","G log10"
"sum_none","G-i_log","-0.209811221492111","sum","G","","log10","sum ","G log10"
"G-i_none","G-i_none","-4.44089209850063e-16","G","G","","","G ","G "
"G1+G2_log","G-i_none","0.360031896603551","G1+G2","G","log10","","G1+G2 log10","G "
"G1+G2_none","G-i_none","0.0259912984768089","G1+G2","G","","","G1+G2 ","G "
"I-i_log","G-i_none","0.485079508858692","I","G","log10","","I log10","G "
"I-i_none","G-i_none","0.357858529988647","I","G","","","I ","G "
"I1+I2_log","G-i_none","0.414841672041467","I1+I2","G","log10","","I1+I2 log10","G "
"Ig-i_log","G-i_none","-0.283063491914948","Ig","G","log10","","Ig log10","G "
"Ig-i_none","G-i_none","-0.084051008163738","Ig","G","","","Ig ","G "
"R_log","G-i_none","0.405917814828997","R","G","log10","","R log10","G "
"R_none","G-i_none","0.468625785463877","R","G","","","R ","G "
"sum_log","G-i_none","0.505729988000377","sum","G","log10","","sum log10","G "
"sum_none","G-i_none","0.348493648969932","sum","G","","","sum ","G "
"G1+G2_log","G1+G2_log","0","G1+G2","G1+G2","log10","log10","G1+G2 log10","G1+G2 log10"
"G1+G2_none","G1+G2_log","-0.794899104000136","G1+G2","G1+G2","","log10","G1+G2 ","G1+G2 log10"
"I-i_log","G1+G2_log","0.880680092044283","I","G1+G2","log10","log10","I log10","G1+G2 log10"
"I-i_none","G1+G2_log","0.477309506750029","I","G1+G2","","log10","I ","G1+G2 log10"
"I1+I2_log","G1+G2_log","0.884436499567349","I1+I2","G1+G2","log10","log10","I1+I2 log10","G1+G2 log10"
"Ig-i_log","G1+G2_log","0.956044613871994","Ig","G1+G2","log10","log10","Ig log10","G1+G2 log10"
"Ig-i_none","G1+G2_log","-0.662788348888891","Ig","G1+G2","","log10","Ig ","G1+G2 log10"
"R_log","G1+G2_log","0.662506358884546","R","G1+G2","log10","log10","R log10","G1+G2 log10"
"R_none","G1+G2_log","0.617232489422134","R","G1+G2","","log10","R ","G1+G2 log10"
"sum_log","G1+G2_log","1.0033579812183","sum","G1+G2","log10","log10","sum log10","G1+G2 log10"
"sum_none","G1+G2_log","0.579032476625875","sum","G1+G2","","log10","sum ","G1+G2 log10"
"G1+G2_none","G1+G2_none","-4.44089209850063e-16","G1+G2","G1+G2","","","G1+G2 ","G1+G2 "
"I-i_log","G1+G2_none","0.632287492385625","I","G1+G2","log10","","I log10","G1+G2 "
"I-i_none","G1+G2_none","0.374127527005664","I","G1+G2","","","I ","G1+G2 "
"I1+I2_log","G1+G2_none","0.615148228838784","I1+I2","G1+G2","log10","","I1+I2 log10","G1+G2 "
"Ig-i_log","G1+G2_none","-0.863097045353863","Ig","G1+G2","log10","","Ig log10","G1+G2 "
"Ig-i_none","G1+G2_none","-0.0791423202296158","Ig","G1+G2","","","Ig ","G1+G2 "
"R_log","G1+G2_none","0.565461464597434","R","G1+G2","log10","","R log10","G1+G2 "
"R_none","G1+G2_none","0.596210433967588","R","G1+G2","","","R ","G1+G2 "
"sum_log","G1+G2_none","0.714948670482985","sum","G1+G2","log10","","sum log10","G1+G2 "
"sum_none","G1+G2_none","0.493640082675343","sum","G1+G2","","","sum ","G1+G2 "
"I-i_log","I-i_log","0","I","I","log10","log10","I log10","I log10"
"I-i_none","I-i_log","-0.105673646160253","I","I","","log10","I ","I log10"
"I1+I2_log","I-i_log","-0.00196051373149997","I1+I2","I","log10","log10","I1+I2 log10","I log10"
"Ig-i_log","I-i_log","0.135337607267823","Ig","I","log10","log10","Ig log10","I log10"
"Ig-i_none","I-i_log","-0.529292727449802","Ig","I","","log10","Ig ","I log10"
"R_log","I-i_log","0.0353325578834833","R","I","log10","log10","R log10","I log10"
"R_none","I-i_log","0.0628343126777029","R","I","","log10","R ","I log10"
"sum_log","I-i_log","0.0633540482483967","sum","I","log10","log10","sum log10","I log10"
"sum_none","I-i_log","-0.0583859946122365","sum","I","","log10","sum ","I log10"
"I-i_none","I-i_none","0","I","I","","","I ","I "
"I1+I2_log","I-i_none","0.101004301896123","I1+I2","I","log10","","I1+I2 log10","I "
"Ig-i_log","I-i_none","-0.0258147716592192","Ig","I","log10","","Ig log10","I "
"Ig-i_none","I-i_none","-0.353588362456671","Ig","I","","","Ig ","I "
"R_log","I-i_none","0.15035549283355","R","I","log10","","R log10","I "
"R_none","I-i_none","0.173420541545325","R","I","","","R ","I "
"sum_log","I-i_none","0.161571541585781","sum","I","log10","","sum log10","I "
"sum_none","I-i_none","0.0448901130796693","sum","I","","","sum ","I "
"I1+I2_log","I1+I2_log","4.44089209850063e-16","I1+I2","I1+I2","log10","log10","I1+I2 log10","I1+I2 log10"
"Ig-i_log","I1+I2_log","0.165128447228272","Ig","I1+I2","log10","log10","Ig log10","I1+I2 log10"
"Ig-i_none","I1+I2_log","-0.498442497999191","Ig","I1+I2","","log10","Ig ","I1+I2 log10"
"R_log","I1+I2_log","0.0723467820251171","R","I1+I2","log10","log10","R log10","I1+I2 log10"
"R_none","I1+I2_log","0.0992746723766045","R","I1+I2","","log10","R ","I1+I2 log10"
"sum_log","I1+I2_log","0.0719438527992344","sum","I1+I2","log10","log10","sum log10","I1+I2 log10"
"sum_none","I1+I2_log","-0.0421361458203187","sum","I1+I2","","log10","sum ","I1+I2 log10"
"Ig-i_log","Ig-i_log","2.39808173319034e-14","Ig","Ig","log10","log10","Ig log10","Ig log10"
