"","mut_id","res_id","fitness_1","fitness_2","fitness_final","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"1","G-i_log","G-i_none",0.634420703345817,0.634420578697323,0.634420703345817,"G","log","G","none","G log","G"
"2","G-i_log","G1+G2_log",1.41890679518946,1.41900516935603,1.41900516935603,"G","log","G1+G2","log","G log","G1+G2 log"
"3","G-i_log","G1+G2_none",-1.67941288806167,0.760805240215335,0.760805240215335,"G","log","G1+G2","none","G log","G1+G2"
"4","G-i_log","I-i_log",0.168270736128215,0.16827064354014,0.168270736128215,"G","log","I","log","G log","I log"
"5","G-i_log","I-i_none",0.276608466658835,0.276608444260274,0.276608466658835,"G","log","I","none","G log","I"
"6","G-i_log","I1+I2_log",0.200582941249486,0.200583131634013,0.200583131634013,"G","log","I1+I2","log","G log","I1+I2 log"
"7","G-i_log","I1+I2_none",0.923219335161164,0.923219294012133,0.923219335161164,"G","log","I1+I2","none","G log","I1+I2"
"8","G-i_log","Ig-i_log",0.025298444429017,0.0252985621854691,0.0252985621854691,"G","log","Ig","log","G log","Ig log"
"9","G-i_log","Ig-i_none",0.675871601501911,0.675871781620783,0.675871781620783,"G","log","Ig","none","G log","Ig"
"10","G-i_log","Ig1+Ig2_none",0.851943924361207,0.8519439572188,0.8519439572188,"G","log","Ig1+Ig2","none","G log","Ig1+Ig2"
"11","G-i_log","R_log",0.128598079665171,0.128598082663732,0.128598082663732,"G","log","R","log","G log","R log"
"12","G-i_log","R_none",0.0993630949900912,0.0993630882645182,0.0993630949900912,"G","log","R","none","G log","R"
"13","G-i_log","sum_log",0.106887644183872,0.1068875952132,0.106887644183872,"G","log","sum","log","G log","sum log"
"14","G-i_log","sum_none",0.223478036304869,0.223478040568161,0.223478040568161,"G","log","sum","none","G log","sum"
"15","G-i_none","G-i_log",-0.52658147514882,-0.505802770188097,-0.505802770188097,"G","none","G","log","G","G log"
"16","G-i_none","G1+G2_log",0.843297267059164,0.843296260880849,0.843297267059164,"G","none","G1+G2","log","G","G1+G2 log"
"17","G-i_none","G1+G2_none",0.160037165462028,0.153754245178273,0.160037165462028,"G","none","G1+G2","none","G","G1+G2"
"18","G-i_none","I-i_log",-0.380119328593556,-0.411064195942012,-0.380119328593556,"G","none","I","log","G","I log"
"19","G-i_none","I-i_none",-0.227231455821708,-0.225482545455329,-0.225482545455329,"G","none","I","none","G","I"
"20","G-i_none","I1+I2_log",-0.366937922800671,-0.380139914901971,-0.366937922800671,"G","none","I1+I2","log","G","I1+I2 log"
"21","G-i_none","I1+I2_none",0.444587334661368,0.449699727137414,0.449699727137414,"G","none","I1+I2","none","G","I1+I2"
"22","G-i_none","Ig-i_log",-0.524018648389589,-0.522512075227161,-0.522512075227161,"G","none","Ig","log","G","Ig log"
"23","G-i_none","Ig-i_none",0.11376201680781,0.116073342043244,0.116073342043244,"G","none","Ig","none","G","Ig"
"24","G-i_none","Ig1+Ig2_none",-1.46144017807551,0.198201901872868,0.198201901872868,"G","none","Ig1+Ig2","none","G","Ig1+Ig2"
"25","G-i_none","R_log",-0.378499843887044,-0.38953781941046,-0.378499843887044,"G","none","R","log","G","R log"
"26","G-i_none","R_none",-0.413642184524943,-0.412070964017131,-0.412070964017131,"G","none","R","none","G","R"
"27","G-i_none","sum_log",-0.473012903691317,-0.485867899628997,-0.473012903691317,"G","none","sum","log","G","sum log"
"28","G-i_none","sum_none",-0.318534040681568,-0.332404163014966,-0.318534040681568,"G","none","sum","none","G","sum"
"29","G1+G2_log","G-i_log",0.0307734815621163,0.0307733625163293,0.0307734815621163,"G1+G2","log","G","log","G1+G2 log","G log"
"30","G1+G2_log","G-i_none",0.7034977960581,0.703497649893357,0.7034977960581,"G1+G2","log","G","none","G1+G2 log","G"
"31","G1+G2_log","G1+G2_none",0.813671508299232,0.813671322359045,0.813671508299232,"G1+G2","log","G1+G2","none","G1+G2 log","G1+G2"
"32","G1+G2_log","I-i_log",0.157927340997869,0.157927205456335,0.157927340997869,"G1+G2","log","I","log","G1+G2 log","I log"
"33","G1+G2_log","I-i_none",0.282791117307276,0.282791104894857,0.282791117307276,"G1+G2","log","I","none","G1+G2 log","I"
"34","G1+G2_log","I1+I2_log",0.189125462948509,0.18912549400586,0.18912549400586,"G1+G2","log","I1+I2","log","G1+G2 log","I1+I2 log"
"35","G1+G2_log","I1+I2_none",0.962826331852764,0.962826319446437,0.962826331852764,"G1+G2","log","I1+I2","none","G1+G2 log","I1+I2"
"36","G1+G2_log","Ig-i_log",0.0209393461029825,0.0209394677918815,0.0209394677918815,"G1+G2","log","Ig","log","G1+G2 log","Ig log"
"37","G1+G2_log","Ig-i_none",0.718042069615011,0.718041872802271,0.718042069615011,"G1+G2","log","Ig","none","G1+G2 log","Ig"
"38","G1+G2_log","Ig1+Ig2_none",0.925607315405572,0.925607655711382,0.925607655711382,"G1+G2","log","Ig1+Ig2","none","G1+G2 log","Ig1+Ig2"
"39","G1+G2_log","R_log",0.153886763018815,0.153886748199419,0.153886763018815,"G1+G2","log","R","log","G1+G2 log","R log"
"40","G1+G2_log","R_none",0.121895331697878,0.121895337426698,0.121895337426698,"G1+G2","log","R","none","G1+G2 log","R"
"41","G1+G2_log","sum_log",0.0995956603588062,0.099595721697737,0.099595721697737,"G1+G2","log","sum","log","G1+G2 log","sum log"
"42","G1+G2_log","sum_none",0.241214374716937,0.24121438629276,0.24121438629276,"G1+G2","log","sum","none","G1+G2 log","sum"
"43","G1+G2_none","G-i_log",-0.635826395747257,-0.635828442683038,-0.635826395747257,"G1+G2","none","G","log","G1+G2","G log"
"44","G1+G2_none","G-i_none",0.0792681355774947,0.0792681355774947,0.0792681355774947,"G1+G2","none","G","none","G1+G2","G"
"45","G1+G2_none","G1+G2_log",0.00088887064112465,0.00088887064112465,0.00088887064112465,"G1+G2","none","G1+G2","log","G1+G2","G1+G2 log"
"46","G1+G2_none","I-i_log",-0.382821122254268,-0.485724091783212,-0.382821122254268,"G1+G2","none","I","log","G1+G2","I log"
"47","G1+G2_none","I-i_none",-0.268219132445589,-0.258934738555646,-0.258934738555646,"G1+G2","none","I","none","G1+G2","I"
"48","G1+G2_none","I1+I2_log",-0.517375886151686,-0.460349700019268,-0.460349700019268,"G1+G2","none","I1+I2","log","G1+G2","I1+I2 log"
"49","G1+G2_none","I1+I2_none",0.426323436588988,0.586799235369036,0.586799235369036,"G1+G2","none","I1+I2","none","G1+G2","I1+I2"
"50","G1+G2_none","Ig-i_log",-0.694750014197775,-0.613718676678109,-0.613718676678109,"G1+G2","none","Ig","log","G1+G2","Ig log"
"51","G1+G2_none","Ig-i_none",0.150499317754657,0.209950473449663,0.209950473449663,"G1+G2","none","Ig","none","G1+G2","Ig"
"52","G1+G2_none","Ig1+Ig2_none",-1.46143274457362,0.345846672659287,0.345846672659287,"G1+G2","none","Ig1+Ig2","none","G1+G2","Ig1+Ig2"
"53","G1+G2_none","R_log",-0.442354475985782,-0.441968432149952,-0.441968432149952,"G1+G2","none","R","log","G1+G2","R log"
"54","G1+G2_none","R_none",-0.522282923252396,-0.469320270487697,-0.469320270487697,"G1+G2","none","R","none","G1+G2","R"
"55","G1+G2_none","sum_log",-0.583915829571267,-0.573625839762328,-0.573625839762328,"G1+G2","none","sum","log","G1+G2","sum log"
"56","G1+G2_none","sum_none",-0.405739518155819,-0.365373965889539,-0.365373965889539,"G1+G2","none","sum","none","G1+G2","sum"
"57","I-i_log","G-i_log",-0.164532024950861,-0.164531994355358,-0.164531994355358,"I","log","G","log","I log","G log"
"58","I-i_log","G-i_none",0.536700785446448,0.538557809714131,0.538557809714131,"I","log","G","none","I log","G"
"59","I-i_log","G1+G2_log",1.10296012462677,1.11241357728023,1.11241357728023,"I","log","G1+G2","log","I log","G1+G2 log"
"60","I-i_log","G1+G2_none",0.638375734976941,0.638375734976941,0.638375734976941,"I","log","G1+G2","none","I log","G1+G2"
"61","I-i_log","I-i_none",0.0836351791935197,0.107051099015907,0.107051099015907,"I","log","I","none","I log","I"
"62","I-i_log","I1+I2_log",-0.0165163252744334,0.00410596064289059,0.00410596064289059,"I","log","I1+I2","log","I log","I1+I2 log"
"63","I-i_log","I1+I2_none",0.726153710680279,0.744635304896681,0.744635304896681,"I","log","I1+I2","none","I log","I1+I2"
"64","I-i_log","Ig-i_log",-0.158771886275855,-0.133428012001241,-0.133428012001241,"I","log","Ig","log","I log","Ig log"
"65","I-i_log","Ig-i_none",0.544563927145391,0.544665623091809,0.544665623091809,"I","log","Ig","none","I log","Ig"
"66","I-i_log","Ig1+Ig2_none",0.815525983804935,0.823519266501378,0.823519266501378,"I","log","Ig1+Ig2","none","I log","Ig1+Ig2"
"67","I-i_log","R_log",-0.0609522929209123,-0.0311970006701277,-0.0311970006701277,"I","log","R","log","I log","R log"
"68","I-i_log","R_none",-0.0876963804661544,-0.0609657855105836,-0.0609657855105836,"I","log","R","none","I log","R"
"69","I-i_log","sum_log",-0.0770773260611679,-0.0587790182044725,-0.0587790182044725,"I","log","sum","log","I log","sum log"
"70","I-i_log","sum_none",0.0628840466860443,0.0642856323056185,0.0642856323056185,"I","log","sum","none","I log","sum"
"71","I-i_none","G-i_log",-0.271168103981558,-0.271168103981558,-0.271168103981558,"I","none","G","log","I","G log"
"72","I-i_none","G-i_none",0.399771651884451,0.372276857816224,0.399771651884451,"I","none","G","none","I","G"
"73","I-i_none","G1+G2_log",1.0679668975141,1.06796545059841,1.0679668975141,"I","none","G1+G2","log","I","G1+G2 log"
"74","I-i_none","G1+G2_none",0.419843838680976,0.420621178536508,0.420621178536508,"I","none","G1+G2","none","I","G1+G2"
"75","I-i_none","I-i_log",-0.105093916721637,-0.105148714494161,-0.105093916721637,"I","none","I","log","I","I log"
"76","I-i_none","I1+I2_log",-0.101393692504685,-0.101394719966504,-0.101393692504685,"I","none","I1+I2","log","I","I1+I2 log"
"77","I-i_none","I1+I2_none",0.613807576545734,0.613479300104118,0.613807576545734,"I","none","I1+I2","none","I","I1+I2"
"78","I-i_none","Ig-i_log",-0.253790288186856,-0.253892194653374,-0.253790288186856,"I","none","Ig","log","I","Ig log"
