cue,log,var1,var2,var3,var4
I-i,none,0.1135384,-39.0585154,1941.908281,119.822898
I-i,log,5.463558,2.383948,-17.757281,4.571835
I1+I2,log,5.463558,2.383948,-17.757281,4.571835
Ig-i,none,0.05234791,-46.03368629,1897.613135,70.57689145
Ig-i,log,1.746334,-1.785818,-5.528335,1.573436
sum,none,0.3159297,-46.1104558,1250.752908,-6.1982093
sum,log,3.594042,4.157744,-13.530672,2.599905
G-i,none,0.04061288,-9.31445958,74.13015506,-431.5984364
G-i,log,1.211521,-3.936778,-1.312944,-1.285713
G1+G2,none,0.04061288,-9.31445958,74.13015506,-431.5984364
G1+G2,log,1.211521,-3.936778,-1.312944,-1.285713
R,none,7.0976026,30.1295151,-28.0565613,-0.2788713
R,log,48.70772,105.18882,-81.80625,-44.60051
I1+I2,none,0.1135384,-39.0585154,1941.908281,119.822898
Ig1+Ig2,none,0.05234791,-46.03368629,1897.613135,70.57689145
