cue,log,var1,var2,var3,var4,algo
I-i,none,1.931059,-63.78682,1295.819775,-31.58044,local
I-i,log,381.7701,-528.2317,-324.5508,-403.8235,local
I1+I2,log,404.617,-529.2684,-365.0516,-417.0552,local
Ig-i,none,1.096857,-80.496897,1412.461014,3.463079,local
Ig-i,log,2.189146,-5.450051,4.543525,-9.356682,local
sum,none,1.86014,-25.61573,257.60126,-2823.09564,local
sum,log,435.1835,-565.3985,-395.7242,-446.595,local
G-i,none,1.352967,-165.891572,61.230266,-7.374788,local
G-i,log,1.762225,-4.329505,2.548675,-6.726894,local
G1+G2,none,1,-21.911779,338.36246,-4999.99966,global
G1+G2,log,12.106219,-21.043524,-5.010265,-16.928459,local
R,none,-88.36793,136.04925,65.44548,98.14261,local
R,log,-971.1975,1175.9801,931.5406,978.087,local
I1+I2,none,0.9999999,-9.1650326,-71.7214007,4998.79439,global
Ig1+Ig2,none,1,-32.831645,378.108931,-4999.999969,global
