"Result","X1","X0L","c.0.5..0.5..0.5..0.5.","c.0.5..0.5..0.5..0.5..1","X2.15625249946072"
"result.1","1","0","0.5","0.5","2.156252"
"result.1","1","0","0.5","0.5","2.156252"
"result.1","1","0","0.5","0.5","2.156252"
"result.1","1","0","0.5","0.5","2.156252"
"","","","","",""
"Result","X2","X0L","c.10.720870050722...4.38594817692152...15.1648517566975...8.99191666374843","c.10.720870050722...4.38594817692152...15.1648517566975...8.99191666374843.1","X0.122545188488045"
"result.2","2","0"," 10.720870"," 10.720870","0.1225452"
"result.2","2","0"," -4.385948"," -4.385948","0.1225452"
"result.2","2","0","-15.164852","-15.164852","0.1225452"
"result.2","2","0"," -8.991917"," -8.991917","0.1225452"
"","","","","",""
"Result","X3","X0L","c.12.511325866429...0.797532851696126...20.7655138878818...8.49016010496156","c.12.511325866429...0.797532851696126...20.7655138878818...8.49016010496156.1","X0.0239761961532947"
"result.3","3","0"," 12.5113259"," 12.5113259","0.0239762"
"result.3","3","0"," -0.7975329"," -0.7975329","0.0239762"
"result.3","3","0","-20.7655139","-20.7655139","0.0239762"
"result.3","3","0"," -8.4901601"," -8.4901601","0.0239762"
"","","","","",""
"Result","X4","X0L","c.381.770066823724...528.231734700828...324.550809720087...403.823529201096","c.381.770066823724...528.231734700828...324.550809720087...403.823529201096.1","X0.000174991729335439"
"result.4","4","0"," 381.7701"," 381.7701","0.0001749917"
"result.4","4","0","-528.2317","-528.2317","0.0001749917"
"result.4","4","0","-324.5508","-324.5508","0.0001749917"
"result.4","4","0","-403.8235","-403.8235","0.0001749917"
"","","","","",""
