"Result","X1","X52L","c.0.5..0.5..0.5..0.5.","c.0.5..0.5..0.5..0.5..1","X2.16936545930239"
"result.1","1","52","0.5","0.5","2.169365"
"result.1","1","52","0.5","0.5","2.169365"
"result.1","1","52","0.5","0.5","2.169365"
"result.1","1","52","0.5","0.5","2.169365"
"","","","","",""
"Result","X2","X0L","c.1.57263523497551...45.5616161142622..779.429608450566..11.4681151002466","c.1.57263523497551...45.5616161142622..779.429608450566..11.4681151002466.1","X0.0921079162603644"
"result.2","2","0","  1.572635","  1.572635","0.09210792"
"result.2","2","0","-45.561616","-45.561616","0.09210792"
"result.2","2","0","779.429608","779.429608","0.09210792"
"result.2","2","0"," 11.468115"," 11.468115","0.09210792"
"","","","","",""
"Result","X3","X0L","c.1.93105919652016...63.7868203094273..1295.81977540814...31.5804400621885","c.1.93105919652016...63.7868203094273..1295.81977540814...31.5804400621885.1","X0.000984466334541079"
"result.3","3","0","   1.931059","   1.931059","0.0009844663"
"result.3","3","0"," -63.786820"," -63.786820","0.0009844663"
"result.3","3","0","1295.819775","1295.819775","0.0009844663"
"result.3","3","0"," -31.580440"," -31.580440","0.0009844663"
"","","","","",""
