V1,label
0.6951341,Total sexual iRBC
2.696053,Total sexual iRBC
2.10806,Total sexual iRBC
3.35601,Total sexual iRBC
2.970517,Total sexual iRBC
3.63347,Total sexual iRBC
3.093687,Total sexual iRBC
4.115659,Total sexual iRBC
4.017761,Total sexual iRBC
2.861991,Total sexual iRBC
4.177641,Total sexual iRBC
2.36315,Total sexual iRBC
2.690281,Total sexual iRBC
2.160693,Total sexual iRBC
4.142436,Total sexual iRBC
3.368015,Total sexual iRBC
3.284027,Total sexual iRBC
4.184113,Total sexual iRBC
3.656499,Total sexual iRBC
2.274939,Total sexual iRBC
2.255167,Total sexual iRBC
2.865928,Total sexual iRBC
4.182963,Total sexual iRBC
4.078882,Total sexual iRBC
4.178943,Total sexual iRBC
2.417156,Total sexual iRBC
2.929634,Total sexual iRBC
4.05554,Total sexual iRBC
4.069675,Total sexual iRBC
2.627716,Total sexual iRBC
3.94721,Total sexual iRBC
4.131952,Total sexual iRBC
1.771166,Total sexual iRBC
3.531818,Total sexual iRBC
3.881595,Total sexual iRBC
2.708989,Total sexual iRBC
4.116819,Total sexual iRBC
3.232182,Total sexual iRBC
2.090358,Total sexual iRBC
2.478508,Total sexual iRBC
4.186364,Total sexual iRBC
3.738493,Total sexual iRBC
2.217294,Total sexual iRBC
4.104975,Total sexual iRBC
2.028602,Total sexual iRBC
3.189564,Total sexual iRBC
3.928725,Total sexual iRBC
1.786607,Total sexual iRBC
3.354086,Total sexual iRBC
3.353558,Total sexual iRBC
3.92834,Total sexual iRBC
2.927229,Total sexual iRBC
4.180633,Total sexual iRBC
3.223578,Total sexual iRBC
3.022954,Total sexual iRBC
3.111199,Total sexual iRBC
3.032443,Total sexual iRBC
0.1922555,Total sexual iRBC
3.715567,Total sexual iRBC
4.124179,Total sexual iRBC
3.139976,Total sexual iRBC
4.018248,Total sexual iRBC
4.000066,Total sexual iRBC
2.913119,Total sexual iRBC
0.5437095,Total sexual iRBC
2.418999,Total sexual iRBC
2.860911,Total sexual iRBC
3.291603,Total sexual iRBC
3.495783,Total sexual iRBC
3.926204,Total sexual iRBC
0.5341514,Total sexual iRBC
2.796941,Total sexual iRBC
4.172607,Total sexual iRBC
0.9138768,Total sexual iRBC
3.864435,Total sexual iRBC
3.380922,Total sexual iRBC
4.183967,Total sexual iRBC
2.316402,Total sexual iRBC
4.078118,Total sexual iRBC
3.534766,Total sexual iRBC
1.996432,Total sexual iRBC
3.092933,Total sexual iRBC
4.060318,Total sexual iRBC
4.163628,Total sexual iRBC
4.102007,Total sexual iRBC
2.946035,Total sexual iRBC
3.712646,Total sexual iRBC
4.153834,Total sexual iRBC
3.301197,Total sexual iRBC
1.543054,Total sexual iRBC
4.120454,Total sexual iRBC
3.68227,Total sexual iRBC
2.871488,Total sexual iRBC
4.184146,Total sexual iRBC
2.453399,Total sexual iRBC
2.278366,Total sexual iRBC
1.430375,Total sexual iRBC
1.190258,Total sexual iRBC
4.062324,Total sexual iRBC
3.03667,Total sexual iRBC
4.160027,Total sexual iRBC
4.095504,Total sexual iRBC
3.947243,Total sexual iRBC
1.386323,Total sexual iRBC
