"id_1","id_2","fitness_diff","cue_1","cue_2","log_1","log_2","id_1_alt","id_2_alt"
"G-i_log","G-i_log","-1.33226762955019e-15","G","G","log10","log10","G log10","G log10"
"G-i_none","G-i_log","-0.598300446773237","G","G","","log10","G ","G log10"
"G1+G2_log","G-i_log","-0.946927761216534","G1+G2","G","log10","log10","G1+G2 log10","G log10"
"G1+G2_none","G-i_log","-0.752106776403416","G1+G2","G","","log10","G1+G2 ","G log10"
"I-i_log","G-i_log","-0.164998401293342","I","G","log10","log10","I log10","G log10"
"I-i_none","G-i_log","-0.269843703422435","I","G","","log10","I ","G log10"
"I1+I2_log","G-i_log","-0.187607420660474","I1+I2","G","log10","log10","I1+I2 log10","G log10"
"I1+I2_none","G-i_log","-0.909850910735315","I1+I2","G","","log10","I1+I2 ","G log10"
"Ig-i_log","G-i_log","-0.691263896068354","Ig","G","log10","log10","Ig log10","G log10"
"Ig-i_none","G-i_log","-0.664210253037533","Ig","G","","log10","Ig ","G log10"
"Ig1+Ig2_none","G-i_log","-0.815633507770237","Ig1+Ig2","G","","log10","Ig1+Ig2 ","G log10"
"R_log","G-i_log","-0.113617863768718","R","G","log10","log10","R log10","G log10"
"R_none","G-i_log","-0.0887333231675549","R","G","","log10","R ","G log10"
"sum_log","G-i_log","-0.0958691221195034","sum","G","log10","log10","sum log10","G log10"
"sum_none","G-i_log","-0.209811335978989","sum","G","","log10","sum ","G log10"
"G-i_none","G-i_none","-4.44089209850063e-16","G","G","","","G ","G "
"G1+G2_log","G-i_none","0.360032465424571","G1+G2","G","log10","","G1+G2 log10","G "
"G1+G2_none","G-i_none","0.0259912984768089","G1+G2","G","","","G1+G2 ","G "
"I-i_log","G-i_none","0.485080158816496","I","G","log10","","I log10","G "
"I-i_none","G-i_none","0.357858529988647","I","G","","","I ","G "
"I1+I2_log","G-i_none","0.414842144825613","I1+I2","G","log10","","I1+I2 log10","G "
"I1+I2_none","G-i_none","-0.120494243172529","I1+I2","G","","","I1+I2 ","G "
"Ig-i_log","G-i_none","-0.283063366546432","Ig","G","log10","","Ig log10","G "
"Ig-i_none","G-i_none","-0.084051008163738","Ig","G","","","Ig ","G "
