"","strategy","delay","fitness"
"1",0,0,4.44089209850063e-16
"2",0.5,0,-0.0461995823514458
"3",1,0,-0.179513307534781
"4",1.5,0,-0.439672841940134
"5",2,0,-1.01176698545495
"6",0,0.5,-1.35284292816244
"7",0.5,0.5,-1.33285164374428
"8",1,0.5,-1.37042937644464
"9",1.5,0.5,-1.48714362131134
"10",2,0.5,-1.79488568632694
"11",0,1,-2.50957923061733
"12",0.5,1,-2.46259959910879
"13",1,1,-2.44198436808292
"14",1.5,1,-2.46728687559858
"15",2,1,-2.54828280259963
"16",0,1.5,-3.31082727535415
"17",0.5,1.5,-3.26774562378704
"18",1,1.5,-3.23524728836442
"19",1.5,1.5,-3.22277018185758
"20",2,1.5,-3.20155241504464
"21",0,2,-3.86013765987921
"22",0.5,2,-3.82837138070389
"23",1,2,-3.80055752293812
"24",1.5,2,-3.7795708543244
"25",2,2,-3.6811769549158
