"","id","id_b","label","label_b","cue","cue_b","time","variable","value"
"1","G_log","I_log","G log","I log","G","I",30,"tau_cum",11.146754333891
"2","G_log","I_none","G log","I","G","I",30,"tau_cum",11.05751410414
"3","G_log","I+Ig_log","G log","I+Ig log","G","I+Ig",30,"tau_cum",7.63567107383216e-05
"4","G_log","I+Ig_none","G log","I+Ig","G","I+Ig",30,"tau_cum",2.05027439904634e-05
"5","G_log","Ig_log","G log","Ig log","G","Ig",30,"tau_cum",11.2494155603865
"6","G_log","Ig_none","G log","Ig","G","Ig",30,"tau_cum",11.0837938874835
"7","G_log","R_log","G log","R log","G","R",30,"tau_cum",10.9637678634341
"8","G_log","R_none","G log","R","G","R",30,"tau_cum",10.3142814017078
"9","G_none","I_log","G","I log","G","I",30,"tau_cum",11.1326789939831
"10","G_none","I_none","G","I","G","I",30,"tau_cum",9.399768100425
"11","G_none","I+Ig_log","G","I+Ig log","G","I+Ig",30,"tau_cum",6.99860302680372e-05
"12","G_none","I+Ig_none","G","I+Ig","G","I+Ig",30,"tau_cum",2.0502582017569e-05
"13","G_none","Ig_log","G","Ig log","G","Ig",30,"tau_cum",11.1199956392925
"14","G_none","Ig_none","G","Ig","G","Ig",30,"tau_cum",9.25033259029945
"15","G_none","R_log","G","R log","G","R",30,"tau_cum",8.71163406833407
"16","G_none","R_none","G","R","G","R",30,"tau_cum",8.85111337843702
"17","Ig_log","I_log","Ig log","I log","Ig","I",30,"tau_cum",11.1811819375913
"18","Ig_log","I_none","Ig log","I","Ig","I",30,"tau_cum",11.0718562610495
"19","Ig_none","I_log","Ig","I log","Ig","I",30,"tau_cum",10.9713588422313
"20","Ig_none","I_none","Ig","I","Ig","I",30,"tau_cum",9.78165313382465
"21","R_log","I_log","R log","I log","R","I",30,"tau_cum",10.1985411106908
"22","R_log","I_none","R log","I","R","I",30,"tau_cum",8.76949587561512
"23","R_log","I+Ig_log","R log","I+Ig log","R","I+Ig",30,"tau_cum",5.43587226006989e-05
"24","R_log","I+Ig_none","R log","I+Ig","R","I+Ig",30,"tau_cum",2.05032890307196e-05
"25","R_log","Ig_log","R log","Ig log","R","Ig",30,"tau_cum",10.9688279263629
"26","R_log","Ig_none","R log","Ig","R","Ig",30,"tau_cum",9.05349386990902
"27","R_none","I_log","R","I log","R","I",30,"tau_cum",10.8586874565917
"28","R_none","I_none","R","I","R","I",30,"tau_cum",9.25577078488747
"29","R_none","I+Ig_log","R","I+Ig log","R","I+Ig",30,"tau_cum",7.86400629217694e-05
"30","R_none","I+Ig_none","R","I+Ig","R","I+Ig",30,"tau_cum",2.05019086735534e-05
"31","R_none","Ig_log","R","Ig log","R","Ig",30,"tau_cum",10.6016473882555
"32","R_none","Ig_none","R","Ig","R","Ig",30,"tau_cum",8.95105300031653
