"","id","id_b","label","label_b","cue","cue_b","time","variable","value"
"1","G_log","I_log","G log","I log","G","I",20,"tau_cum",9.66396506025918
"2","G_log","I_none","G log","I","G","I",20,"tau_cum",9.52287090979977
"3","G_log","I+Ig_log","G log","I+Ig log","G","I+Ig",20,"tau_cum",9.61645281846293
"4","G_log","I+Ig_none","G log","I+Ig","G","I+Ig",20,"tau_cum",9.53126765101064
"5","G_log","Ig_log","G log","Ig log","G","Ig",20,"tau_cum",9.65491584862844
"6","G_log","Ig_none","G log","Ig","G","Ig",20,"tau_cum",9.54575764067275
"7","G_log","R_log","G log","R log","G","R",20,"tau_cum",9.51483709036688
"8","G_log","R_none","G log","R","G","R",20,"tau_cum",9.64054383212556
"9","G_none","I_log","G","I log","G","I",20,"tau_cum",9.60666285712878
"10","G_none","I_none","G","I","G","I",20,"tau_cum",8.56499715853232
"11","G_none","I+Ig_log","G","I+Ig log","G","I+Ig",20,"tau_cum",9.6228312538734
"12","G_none","I+Ig_none","G","I+Ig","G","I+Ig",20,"tau_cum",8.52887296686537
"13","G_none","Ig_log","G","Ig log","G","Ig",20,"tau_cum",9.6339239408018
"14","G_none","Ig_none","G","Ig","G","Ig",20,"tau_cum",8.42649885378314
"15","G_none","R_log","G","R log","G","R",20,"tau_cum",8.44772325190129
"16","G_none","R_none","G","R","G","R",20,"tau_cum",8.481091426615
"17","I+Ig_log","I_log","I+Ig log","I log","I+Ig","I",20,"tau_cum",9.62687491631836
"18","I+Ig_log","I_none","I+Ig log","I","I+Ig","I",20,"tau_cum",9.59871491896268
"19","I+Ig_log","Ig_log","I+Ig log","Ig log","I+Ig","Ig",20,"tau_cum",9.62152305083674
"20","I+Ig_log","Ig_none","I+Ig log","Ig","I+Ig","Ig",20,"tau_cum",9.61716170112723
"21","I+Ig_none","I_log","I+Ig","I log","I+Ig","I",20,"tau_cum",9.57101427998667
"22","I+Ig_none","I_none","I+Ig","I","I+Ig","I",20,"tau_cum",8.45597512211543
"23","I+Ig_none","Ig_log","I+Ig","Ig log","I+Ig","Ig",20,"tau_cum",9.60804107761109
"24","I+Ig_none","Ig_none","I+Ig","Ig","I+Ig","Ig",20,"tau_cum",8.64322831949698
"25","Ig_log","I_log","Ig log","I log","Ig","I",20,"tau_cum",9.62330437957804
"26","Ig_log","I_none","Ig log","I","Ig","I",20,"tau_cum",9.60673119293751
"27","Ig_none","I_log","Ig","I log","Ig","I",20,"tau_cum",9.65039554382595
"28","Ig_none","I_none","Ig","I","Ig","I",20,"tau_cum",8.415925283746
"29","R_log","I_log","R log","I log","R","I",20,"tau_cum",9.8517354273958
"30","R_log","I_none","R log","I","R","I",20,"tau_cum",8.37108011205565
"31","R_log","I+Ig_log","R log","I+Ig log","R","I+Ig",20,"tau_cum",9.73392900093936
"32","R_log","I+Ig_none","R log","I+Ig","R","I+Ig",20,"tau_cum",8.23802787688492
"33","R_log","Ig_log","R log","Ig log","R","Ig",20,"tau_cum",9.60448772990188
"34","R_log","Ig_none","R log","Ig","R","Ig",20,"tau_cum",8.53748587665527
"35","R_none","I_log","R","I log","R","I",20,"tau_cum",9.63760882662044
"36","R_none","I_none","R","I","R","I",20,"tau_cum",8.39167633394579
"37","R_none","I+Ig_log","R","I+Ig log","R","I+Ig",20,"tau_cum",9.77887148766916
"38","R_none","I+Ig_none","R","I+Ig","R","I+Ig",20,"tau_cum",8.6159490151421
"39","R_none","Ig_log","R","Ig log","R","Ig",20,"tau_cum",9.693211525846
"40","R_none","Ig_none","R","Ig","R","Ig",20,"tau_cum",8.56370587940307
