par_1,par_2,par_3,par_4,fitness_diff,,
1.57768,-31.8778,351.931,9.24465,0,,
2.02877,-34.6875,351.783,9.23785,-0.106706,,
2.08622,-20.1517,117.537,-5.37323,-0.363429,,
1.90061,-27.819,193.155,-2.46328,-0.282053,,
2.00263,-42.6297,489.321,5.668,-0.132655,,
2.0025,-41.347,489.411,5.67182,-0.0444896,,
2.04722,-23.3706,163.413,-12.7076,-0.520608,,
1.95066,-28.6949,212.131,-9.91578,-0.170541,,
2.01995,-42.1075,470.045,-5.6371,-0.0960135,,
2.06495,-50.534,681.597,-12.1851,-0.065958,,
2.04018,-26.933,219.117,-35.8025,-0.652059,,
2.07598,-16.9506,75.4572,-54.7092,-0.142864,,
1.8631,-27.8105,188.619,-52.2516,-0.36741,,
1.98811,-43.4426,517.729,-41.3204,-0.171074,,
5.57244,-69.5451,514.934,-41.4267,-0.321992,,
1.93427,-17.5311,89.6375,-72.3115,-0.635093,,
1.91444,-29.4591,216.866,-69.0063,-0.264643,,
1.99438,-43.5372,517.595,-60.8748,-0.145015,,
2.08133,-22.6095,157.633,-96.7735,-0.392793,,
1.92411,-26.1675,178.624,-100.556,-0.242551,,
2.01588,-40.3791,429.753,-92.0374,-0.100518,,
2.05163,-49.7217,663.674,-60.5091,-0.0827097,,
2.04973,-26.6519,215.361,-87.1084,-0.628227,,
2.06992,-17.6131,82.3212,-76.3368,-0.140208,,
1.87941,-28.5283,200.143,-73.9633,-0.332069,,
1.99235,-43.8378,526.498,-61.7078,-0.166976,,
2.07974,-22.9916,162.29,-82.8527,-0.417133,,
1.92802,-26.1364,178.599,-84.6366,-0.228824,,
2.01491,-40.1272,423.885,-78.2595,-0.0977716,,
2.03015,-48.3863,637.433,-83.696,-0.083857,,
2.04476,-26.0653,207.174,-105.578,-0.60891,,
1.98262,-25.9349,181.97,-106.236,-0.131889,,
2.01578,-37.9553,374.013,-96.7891,-0.0829839,,
2.04074,-48.4918,633.781,-147.342,-0.099606,,
2.05193,-25.7266,203.787,-169.827,-0.581088,,
1.98148,-26.3568,188.155,-169.131,-0.146508,,
1.57768,-31.8778,351.931,9.24465,-2.430488,,
2.02877,-34.6875,351.783,9.23785,-0.106706,,
2.08622,-20.1517,117.537,-5.37323,-0.363429,,
1.90061,-27.819,193.155,-2.46328,-0.282053,,
2.00263,-42.6297,489.321,5.668,-0.132655,,
2.0025,-41.347,489.411,5.67182,-0.044489,,
2.04722,-23.3706,163.413,-12.7076,-0.520608,,
1.95066,-28.6949,212.131,-9.91578,-0.170541,,
2.01995,-42.1075,470.045,-5.6371,-0.0960135,,
2.06495,-50.534,681.597,-12.1851,-0.0659578,,
2.04018,-26.933,219.117,-35.8025,-0.652055,,
2.07598,-16.9506,75.4572,-54.7092,-0.142864,,
1.8631,-27.8105,188.619,-52.2516,-0.36741,,
1.98811,-43.4426,517.729,-41.3204,-0.171074,,
5.57244,-69.5451,514.934,-41.4267,-0.321992,,
1.93427,-17.5311,89.6375,-72.3115,-0.635093,, 
