"","label","fitness_ci"
"1","Asexual iRBC ",4.1292892303213
"2","Asexual iRBC log10",4.45825157652503
"3","Gametocyte ",3.15723466291923
"4","Gametocyte log10",4.41859742496045
"5","RBC ",3.98376696894534
"6","RBC log10",3.73832667561377
"7","Sexual iRBC ",3.75283017576685
"8","Sexual iRBC log10",4.35951016806393
"9","Total
gametocyte ",4.6513778628055
"10","Total
gametocyte log10",0
"11","Total asexual
iRBC ",4.80566153332805
"12","Total asexual
iRBC log10",4.59925728836151
"13","Total iRBC ",3.8875444876525
"14","Total iRBC log10",4.39996567841561
"15","Total sexual
iRBC ",4.17281712594673
