"","label","mean_cr_ci_n"
"1","Asexual iRBC ",0.406547873724234
"2","Asexual iRBC log10",0.426256870875894
"3","Gametocyte ",0.457377293988877
"4","Gametocyte log10",0.427286491649916
"5","RBC ",0.437039637261872
"6","RBC log10",0.441956142464721
"7","Sexual iRBC ",0.455800120111494
"8","Sexual iRBC log10",0.436411113752786
"9","Total
gametocyte ",0.44197626163899
"10","Total
gametocyte log10",0.416700475116566
"11","Total asexual
iRBC ",0.417550903892333
"12","Total asexual
iRBC log10",0.427682046783889
"13","Total iRBC ",0.441128125687937
"14","Total iRBC log10",0.421705140443321
"15","Total sexual
iRBC ",0.452458997854895
