"","label_si","label_ci","cue.x","fitness_ci","cue.y","fitness_si"
"1","I","I-i","I-i",4.1292892303213,"I",9.34819771052366
"2","I log","I-i log","I-i",4.45825157652503,"I",11.1300686978125
"3","G","G-i","G-i",3.15723466291923,"G",9.62313906742314
"4","G log","G-i log","G-i",4.41859742496045,"G",10.9890755626989
"5","R","R","R",3.98376696894534,"R",10.3769727146891
"6","R log","R log","R",3.73832667561377,"R",9.96097455171471
"7","Ig","Ig-i","Ig-i",3.75283017576685,"Ig",9.62706743378832
"8","Ig log","Ig-i log","Ig-i",4.35951016806393,"Ig",11.1165359589
"9","G","G1+G2","G1+G2",4.6513778628055,"G",9.62313906742314
"10","G log","G1+G2 log","G1+G2",0,"G",10.9890755626989
"11","I","I1+I2","I1+I2",4.80566153332805,"I",9.34819771052366
"12","I log","I1+I2 log","I1+I2",4.59925728836151,"I",11.1300686978125
"13","I+Ig","sum","sum",3.8875444876525,"I+Ig",9.74526943285488
"14","I+Ig log","sum log","sum",4.39996567841561,"I+Ig",11.2058692676398
"15","Ig","Ig1+Ig2","Ig1+Ig2",4.17281712594673,"Ig",9.62706743378832
