"","label","fitness_non_si"
"1","Asexual iRBC ",2.26393873454841
"2","Asexual iRBC log10",5.1745478816185
"3","Gametocyte ",3.09529083385682
"4","Gametocyte log10",4.59742864406444
"5","RBC ",3.99854809600795
"6","RBC log10",3.7429113653189
"7","Sexual iRBC ",3.95270801013627
"8","Sexual iRBC log10",4.44858039281116
"9","Total
gametocyte ",4.55904347988941
"10","Total
gametocyte log10",0
"11","Total asexual
iRBC ",4.80575723432031
"12","Total asexual
iRBC log10",4.57301384295346
"13","Total iRBC ",3.90864469720799
"14","Total iRBC log10",4.36392684962788
"15","Total sexual
iRBC ",4.1715456374832
